Reaction_ID,CORDA_Score
DM_n5m2masn_g,-1
DM_oretn_n,-1
DM_Ser_Thr_l,-1
DM_Ser_Gly_Ala_X_Gly_l,-1
DM_sprm_c,-1
DM_sTn_antigen_g,-1
SK_T_antigen_g,-1
DM_yvite_c,-1
DMANTIPYRINEte,-1
DMATTx,3
DMGDHm,2
DMGtm,-1
DMHPTCRNCPT2,-1
DMHPTCRNt,-1
DMHPTCRNte,-1
DMNONCOACRNCPT1,-1
C110CPT2m,-1
DMNONCRNt,-1
DNADtn,-1
DNDPt10m,3
DNDPt11m,3
DNDPt12m,3
DNDPt13m,3
DNDPt14m,3
DNDPt15m,3
DNDPt16m,3
DNDPt17m,3
DNDPt18m,3
DNDPt19m,3
DNDPt1m,3
DNDPt20m,3
DNDPt21m,3
DNDPt23m,3
DNDPt24m,3
DNDPt25m,3
DNDPt28m,3
DNDPt2m,3
DNDPt30m,3
DNDPt31m,3
DNDPt32m,3
DNDPt37m,3
DNDPt38m,3
DNDPt39m,3
DNDPt3m,3
DNDPt40m,3
DNDPt41m,3
DNDPt42m,3
DNDPt43m,3
DNDPt44m,3
DNDPt45m,3
DNDPt46m,3
DNDPt47m,3
DNDPt48m,3
DNDPt49m,3
DNDPt4m,3
DNDPt50m,3
DNDPt51m,3
DNDPt52m,3
DNDPt53m,3
DNDPt54m,3
DNDPt55m,3
DNDPt56m,3
DNDPt57m,3
DNDPt58m,3
DNDPt59m,3
DNDPt5m,3
DNDPt60m,3
DNDPt61m,3
DNDPt62m,3
DNDPt63m,3
DNDPt6m,3
DNDPt7m,3
DOGULNO1,-1
DOLGLCP_Lter,-1
DOLGPP_Ler,-1
DOLICHOL_Lter,-1
DOLICHOL_Uter,-1
DOLK_L,-1
DOLK_U,-1
DOLMANP_Uter,-1
DOLPH_Ler,3
DOLPH_Uer,3
DOLPMT_U,3
DOLP_Lter,-1
DOLP_Uter,-1
DOPABMO_1,3
DOPACHRMISO,1
DOPAMT,3
DOPAQNISO1,-1
DOPASFt,-1
DOPASULT,3
DOPAt4_2_r,1
DOPAtu,3
DOPAVESSEC_1,3
DORNOp,3
DPCOAtl,-1
DPGase,3
DPGM,3
DPHMBDCm,-1
DPMVDx,3
DPPS,-1
DRIBt,-1
DRPA,3
DSAT,-1
DTDPtn,-1
DTTPtn,-1
DUDPtn,-1
DUMPtn,-1
DURAD,3
DURAD2,3
DURIK1,3
DURIK1m,3
DURIt,3
DURItn,-1
DUTPDPm,3
DUTPDPn,3
EAFLATOXINte,-1
EBASTINEOHte,-1
EBASTINEOHtr,-1
EBASTINEte,-1
EBASTINEtr,-1
EBP1r,3
EBP2r,3
ECOAH12m,3
ECOAH1m,3
ECOAH1x,3
ECOAH9m,3
EHGLAT2m,3
EHGLATm,3
EICOSTETCPT1,3
EICOSTETCPT2,3
EICOSTETCRNt,3
EICOSTETt,-1
ELAIDCPT1,3
ELAIDCPT2,3
ELAIDCRNt,3
ELAIDt,3
ENGASE2ly,-1
ENGASE3ly,-1
ENGASEly,-1
ESTRADIOLGLCt,3
ESTRADIOLGLCt2,3
ESTRADIOLGLCtr,-1
ESTRADIOLt,-1
ESTRADIOLtr,-1
ESTRIOLGLCte,3
ESTRIOLGLCtr,-1
ESTRIOLtr,-1
ESTRONEGLCt,2
ESTRONEGLCtr,-1
ESTRONESt,3
ESTRONESt2,2
ESTRONEtr,-1
ESTSULT,3
ETF,3
ETFQO,3
ETHAK,3
ETHP,3
ETOHMO,3
ETOHtx,-1
EX_10fthf_e,-1
EX_10fthf5glu_e,-1
EX_10fthf6glu_e,-1
EX_10fthf7glu_e,-1
EX_11_cis_retfa_e,-1
EX_13_cis_retnglc_e,-1
EX_1glyc_hs_e,-1
EX_2425dhvitd2_e,-1
EX_2425dhvitd3_e,-1
EX_24nph_e,-1
EX_25hvitd2_e,-1
EX_25hvitd3_e,-1
EX_2hb_e,-1
EX_2mcit_e,-1
EX_34dhoxpeg_e,-1
EX_34dhphe_e,-1
EX_35cgmp_e,-1
EX_3aib_e,-1
EX_3aib__D_e,-1
EX_3mlda_e,-1
EX_4hdebrisoquine_e,-1
EX_4hphac_e,-1
EX_4mptnl_e,-1
EX_4mtolbutamide_e,-1
EX_4nph_e,-1
EX_4nphsf_e,-1
EX_4pyrdx_e,-1
EX_5adtststerone_e,-1
EX_5adtststeroneglc_e,-1
EX_5adtststerones_e,-1
EX_5dhf_e,-1
EX_5fthf_e,-1
EX_5homeprazole_e,-1
EX_5htrp_e,-1
EX_5mthf_e,-1
EX_5thf_e,-1
EX_6dhf_e,-1
EX_6htststerone_e,-1
EX_6thf_e,-1
EX_7dhf_e,-1
EX_7thf_e,-1
EX_9_cis_retfa_e,-1
EX_abt_e,-1
EX_acetone_e,-1
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,-1
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,-1
EX_ach_e,-1
EX_acn13acngalgbside_hs_e,-1
EX_acn23acngalgbside_hs_e,-1
EX_acnacngal14acglcgalgluside_hs_e,-1
EX_acnacngalgbside_hs_e,-1
EX_acngalacglcgal14acglcgalgluside_hs_e,-1
EX_adp_e,-1
EX_adprbp_e,-1
EX_adrn_e,-1
EX_adrnl_e,-1
EX_aflatoxin_e,-1
EX_ahandrostanglc_e,-1
EX_ak2lgchol_hs_e,-1
EX_ala_B_e,-1
EX_ala__D_e,-1
EX_aldstrn_e,-1
EX_amp_e,-1
EX_andrstrn_e,-1
EX_andrstrnglc_e,-1
EX_antipyrene_e,-1
EX_apnnox_e,-1
EX_appnn_e,-1
EX_aprgstrn_e,-1
EX_aqcobal_e,-1
EX_arach_e,-1
EX_arachd_e,-1
EX_ascb__L_e,-1
EX_asp__D_e,-1
EX_atp_e,-1
EX_avite1_e,-1
EX_avite2_e,-1
EX_bhb_e,-1
EX_bildglcur_e,-1
EX_bilglcur_e,-1
EX_bilirub_e,-1
EX_biocyt_e,-1
EX_bvite_e,-1
EX_camp_e,-1
EX_caro_e,-1
EX_carveol_e,-1
EX_chol_e,-1
EX_cholate_e,-1
EX_chsterol_e,-1
EX_chtn_e,-1
EX_clpnd_e,-1
EX_cmp_e,-1
EX_co_e,-1
EX_coumarin_e,-1
EX_creat_e,-1
EX_crmp_hs_e,-1
EX_crn_e,-1
EX_crtsl_e,-1
EX_crtstrn_e,-1
EX_crvnc_e,-1
EX_cspg_a_e,-1
EX_cspg_b_e,-1
EX_cspg_c_e,-1
EX_cspg_d_e,-1
EX_cspg_e_e,-1
EX_cyan_e,-1
EX_dag_hs_e,-1
EX_dcsptn1_e,-1
EX_debrisoquine_e,-1
EX_dgchol_e,-1
EX_dhdascb_e,-1
EX_dheas_e,-1
EX_dhf_e,-1
EX_digalsgalside_hs_e,-1
EX_dlnlcg_e,-1
EX_dmantipyrine_e,-1
EX_dmhptcrn_e,-1
EX_dopa_e,-1
EX_dopasf_e,-1
EX_eaflatoxin_e,-1
EX_ebastine_e,-1
EX_ebastineoh_e,-1
EX_eicostet_e,-1
EX_elaid_e,-1
EX_estradiol_e,-1
EX_estradiolglc_e,-1
EX_estriolglc_e,-1
EX_estroneglc_e,-1
EX_estrones_e,-1
EX_fuc13galacglcgal14acglcgalgluside_hs_e,-1
EX_fuc14galacglcgalgluside_hs_e,-1
EX_fucacgalfucgalacglcgalgluside_hs_e,-1
EX_fucacngal14acglcgalgluside_hs_e,-1
EX_fucacngalacglcgalgluside_hs_e,-1
EX_fucfuc12gal14acglcgalgluside_hs_e,-1
EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,-1
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,-1
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,-1
EX_fucfucgalacglcgalgluside_hs_e,-1
EX_fucgal14acglcgalgluside_hs_e,-1
EX_fucgalfucgalacglcgalgluside_hs_e,-1
EX_fucgalgbside_hs_e,-1
EX_fuc__L_e,-1
EX_galacglcgalgbside_hs_e,-1
EX_galfuc12gal14acglcgalgluside_hs_e,-1
EX_galfucgalacglcgal14acglcgalgluside_hs_e,-1
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,-1
EX_galgalgalthcrm_hs_e,-1
EX_gbside_hs_e,-1
EX_gchola_e,-1
EX_gd1b2_hs_e,-1
EX_gd1c_hs_e,-1
EX_gdp_e,-1
EX_gluala_e,-1
EX_glyc__S_e,-1
EX_glygn2_e,-1
EX_glygn4_e,-1
EX_glygn5_e,-1
EX_gmp_e,-1
EX_gp1c_hs_e,-1
EX_gp1calpha_hs_e,-1
EX_gq1b_hs_e,-1
EX_gq1balpha_hs_e,-1
EX_gsn_e,-1
EX_gt1a_hs_e,-1
EX_gthox_e,-1
EX_gthrd_e,-1
EX_gtp_e,-1
EX_h2o2_e,-1
EX_ha_e,-1
EX_ha_pre1_e,-1
EX_hco3_e,-1
EX_hcoumarin_e,-1
EX_hdca_e,-1
EX_hdcea_e,-1
EX_hestratriol_e,-1
EX_hexc_e,-1
EX_hista_e,-1
EX_hom__L_e,-1
EX_hpdca_e,-1
EX_hspg_e,-1
EX_htaxol_e,-1
EX_i_e,-1
EX_idp_e,-1
EX_imp_e,-1
EX_inost_e,-1
EX_ksi_e,-1
EX_ksi_deg1_e,-1
EX_ksii_core2_e,-1
EX_ksii_core4_e,-1
EX_lac__D_e,-1
EX_cysi__L_e,-1
EX_leuktrA4_e,-1
EX_leuktrB4_e,-1
EX_leuktrC4_e,-1
EX_leuktrD4_e,-1
EX_leuktrE4_e,-1
EX_leuktrF4_e,-1
EX_lgnc_e,-1
EX_limnen_e,-1
EX_lipoate_e,-1
EX_lneldc_e,-1
EX_lnlc_e,-1
EX_lnlnca_e,-1
EX_lnlncg_e,-1
EX_lpchol_hs_e,-1
EX_mag_hs_e,-1
EX_meoh_e,-1
EX_mercplaccys_e,-1
EX_mthgxl_e,-1
EX_n2m2nmasn_e,-1
EX_nad_e,-1
EX_nadp_e,-1
EX_ncam_e,-1
EX_nifedipine_e,-1
EX_no_e,-1
EX_npthl_e,-1
EX_nrpphr_e,-1
EX_nrpphrsf_e,-1
EX_nrvnc_e,-1
EX_o2s_e,-1
EX_oagd3_hs_e,-1
EX_oagt3_hs_e,-1
EX_ocdca_e,-1
EX_ocdcea_e,-1
EX_octa_e,-1
EX_omeprazole_e,-1
EX_onpthl_e,-1
EX_oxa_e,-1
EX_paf_hs_e,-1
EX_pchol_hs_e,-1
EX_pe_hs_e,-1
EX_peplys_e,-1
EX_perillyl_e,-1
EX_pglyc_hs_e,-1
EX_pheacgln_e,-1
EX_phllqne_e,-1
EX_phyt_e,-1
EX_prgstrn_e,-1
EX_prostgd2_e,-1
EX_prostge1_e,-1
EX_prostge2_e,-1
EX_prostgf2_e,-1
EX_ps_hs_e,-1
EX_ptdca_e,-1
EX_rbt_e,-1
