"Gene_ID","GSM6435238","GSM6435239","GSM6435240","GSM6435241"
"ENSMUSG00000003476",13,19,61,12
"ENSMUSG00000003477",23,31,20,54
"ENSMUSG00000003484",7,4,1,9
"ENSMUSG00000003500",1000,856,906,984
"ENSMUSG00000003505",0,0,0,0
"ENSMUSG00000003518",4287,3697,3180,3680
"ENSMUSG00000003526",565,484,445,461
"ENSMUSG00000003527",480,443,468,498
"ENSMUSG00000003528",513,541,552,501
"ENSMUSG00000003531",758,723,527,684
"ENSMUSG00000003534",1716,1645,1406,1707
"ENSMUSG00000003541",155,144,150,159
"ENSMUSG00000003545",174,289,674,259
"ENSMUSG00000003546",423,287,370,323
"ENSMUSG00000003549",236,203,234,288
"ENSMUSG00000003555",0,0,1,1
"ENSMUSG00000003559",176,188,145,159
"ENSMUSG00000003573",107,121,120,129
"ENSMUSG00000003575",4397,3907,3984,4028
"ENSMUSG00000003581",343,273,351,289
"ENSMUSG00000003585",597,602,574,630
"ENSMUSG00000003604",177,143,80,109
"ENSMUSG00000003617",364,367,371,354
"ENSMUSG00000003623",619,556,557,611
"ENSMUSG00000003644",323,300,291,263
"ENSMUSG00000003657",160,251,394,849
"ENSMUSG00000003660",2617,2563,2790,2496
"ENSMUSG00000003662",898,809,894,873
"ENSMUSG00000003665",34,22,25,11
"ENSMUSG00000003680",268,261,275,296
"ENSMUSG00000003721",933,756,880,1009
"ENSMUSG00000003731",1996,1810,2011,1880
"ENSMUSG00000003746",670,922,796,868
"ENSMUSG00000003752",111,76,99,74
