"Gene_ID","GSM6614483","GSM6614484","GSM6614485"
"ENSMUSG00000003420",1027,652,918
"ENSMUSG00000003421",1887,1866,1695
"ENSMUSG00000003423",1150,1389,810
"ENSMUSG00000003429",10611,9168,8705
"ENSMUSG00000003435",5060,5404,4615
"ENSMUSG00000003436",129,50,99
"ENSMUSG00000003437",1801,1940,1265
"ENSMUSG00000003438",1244,1565,1214
"ENSMUSG00000003444",692,801,553
"ENSMUSG00000003452",1505,1601,1655
"ENSMUSG00000003458",1932,2065,1749
"ENSMUSG00000003464",3501,3519,3482
"ENSMUSG00000003469",20871,13027,16295
"ENSMUSG00000003476",37,57,41
"ENSMUSG00000003477",103,110,142
"ENSMUSG00000003484",0,18,2
"ENSMUSG00000003500",790,1299,1430
"ENSMUSG00000003505",0,0,0
"ENSMUSG00000003518",4944,3062,4775
"ENSMUSG00000003526",1702,262,1351
"ENSMUSG00000003527",836,1057,800
"ENSMUSG00000003528",1410,1740,1321
"ENSMUSG00000003531",2521,2386,1649
"ENSMUSG00000003534",4893,5556,3547
"ENSMUSG00000003541",178,1018,151
"ENSMUSG00000003545",410,1383,523
"ENSMUSG00000003546",868,871,955
"ENSMUSG00000003549",546,654,442
"ENSMUSG00000003555",0,0,0
"ENSMUSG00000003559",534,265,566
"ENSMUSG00000003573",2812,2941,1685
"ENSMUSG00000003575",10056,8500,8235
"ENSMUSG00000003581",649,796,684
"ENSMUSG00000003585",3184,3195,2529
"ENSMUSG00000003604",467,529,388
"ENSMUSG00000003617",440,1286,633
"ENSMUSG00000003623",1702,1645,1818
"ENSMUSG00000003644",643,941,533
"ENSMUSG00000003657",1507,1408,3764
"ENSMUSG00000003660",5254,5807,3983
"ENSMUSG00000003662",1983,1976,1932
"ENSMUSG00000003665",30,42,36
"ENSMUSG00000003680",616,672,497
"ENSMUSG00000003721",1874,1537,1513
"ENSMUSG00000003731",4046,4230,4179
"ENSMUSG00000003746",3878,2451,2517
"ENSMUSG00000003752",378,1502,430
"ENSMUSG00000003762",726,1837,698
"ENSMUSG00000003778",1799,1490,1652
"ENSMUSG00000003779",273,108,278
"ENSMUSG00000003808",694,1090,786
"ENSMUSG00000003809",987,641,858
"ENSMUSG00000003810",3306,3812,2986
"ENSMUSG00000003812",234,1666,853
"ENSMUSG00000003813",2346,2754,2240
"ENSMUSG00000003814",8912,11416,11339
"ENSMUSG00000003824",249,164,192
"ENSMUSG00000003847",1078,2364,2143
"ENSMUSG00000003848",1031,1353,1122
"ENSMUSG00000003849",292,119,271
