"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"4931429L15Rik",6,4,1,0
"4931440F15Rik",22,19,15,24
"4932415D10Rik",1,0,1,0
"4932438A13Rik",1393,1600,1455,1984
"4932438H23Rik",17,22,13,19
"4933402D24Rik",15,17,13,19
"4933402J07Rik",1,0,2,0
"4933403O08Rik",2,1,0,0
"4933405L10Rik",1,1,4,2
"4933405O20Rik",2,1,1,1
"4933406M09Rik",0,0,0,0
"4933407L21Rik",29,31,25,32
"4933408B17Rik",16,12,7,13
"4933411K16Rik",1,2,1,3
"4933414I15Rik",0,2,0,0
"4933424G06Rik",2,0,0,2
"4933425L06Rik",0,0,1,0
"4933427D14Rik",7,14,7,12
"4933428G20Rik",54,36,31,42
"4933430I17Rik",2,1,3,2
"4933434E20Rik",180,168,167,217
"5-Mar",308,300,296,372
"5-Sep",292,260,234,291
"5031439G07Rik",1135,1354,1080,1158
"5330417C22Rik",48,58,40,40
"5430403G16Rik",34,24,29,46
"5430419D17Rik",5,10,10,4
"5430427O19Rik",0,4,7,3
"5530401A14Rik",3,9,6,0
"5730409E04Rik",1343,1139,997,1349
"5730455P16Rik",792,767,684,878
"5730480H06Rik",115,136,120,150
"5730507C01Rik",1,3,4,3
"5730522E02Rik",4,6,3,5
"5830411N06Rik",0,0,1,0
"6-Mar",1840,1984,1958,2119
"6-Sep",528,449,404,580
"6030458C11Rik",249,267,262,311
"6030468B19Rik",0,0,0,1
"6330403K07Rik",738,1162,542,408
"6330409D20Rik",9,10,12,4
"6330411D24Rik",24,36,22,21
"6430531B16Rik",0,3,2,0
"6430548M08Rik",2595,2179,1928,3063
"6430550D23Rik",19,16,19,23
"6430571L13Rik",476,282,282,521
"6720489N17Rik",41,51,47,67
"6820408C15Rik",37,39,40,37
"7-Mar",719,798,813,1098
"7-Sep",872,1247,1156,1345
"8-Mar",694,758,745,667
"8-Sep",2565,2279,2260,3007
"8030462N17Rik",950,1032,910,1145
"9-Mar",144,117,87,117
"9-Sep",97,103,66,43
"9030025P20Rik",14,13,7,12
"9030624G23Rik",0,2,2,0
"9130008F23Rik",1,3,2,2
"9130019O22Rik",77,65,50,79
"9130023H24Rik",52,50,52,51
"9130230L23Rik",0,0,0,0
"9130401M01Rik",98,76,81,101
"9130409I23Rik",1,3,0,2
"9230102O04Rik",0,1,0,0
"9330159F19Rik",529,585,575,703
"9330182L06Rik",380,496,536,508
