mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
,,Tr_EX_Lkynr[e]_[csf],,
,,DOPAc,,
,,5HTRPVESSEC,,
,,Tr_EX_5htrp[e]_[csf],,
,,ACHVESSEC,,
,,GLYVESSEC,,
,,NRPPHRVESSEC,,
,,TYMte,,
,,FOLR2,,
,,LIPID_DEGRx,,
,,PROTEOME_DEGRx,,
,,TRANSCRIPTOME_DEGRx,,
,,CYStec,,
,,r2532,,
,,ILEtec,,
,,METtec,,
,,PHEtec,,
,,VALtec,,
,,r2525,,
,,r2526,,
,,r2534,,
,,r2535,,
,,LKYNRtr,,
,,TYRt,,
,,GLYt2r,,
,,HIStiDF,,
,,r1144,,
,,EX_2425dhvitd3[csf],,
,,EX_34dhoxpeg[csf],,
,,EX_3aib[csf],,
,,EX_3mlda[csf],,
,,EX_ach[csf],,
,,EX_acnacngal14acglcgalgluside_hs[csf],,
,,EX_ala_D[csf],,
,,EX_arach[csf],,
,,EX_arachd[csf],,
,,EX_bhb[csf],,
,,EX_bildglcur[csf],,
,,EX_bilglcur[csf],,
,,EX_bilirub[csf],,
,,EX_chol[csf],,
,,EX_cholate[csf],,
,,EX_chsterol[csf],,
,,EX_co[csf],,
,,EX_creat[csf],,
,,EX_crn[csf],,
,,EX_cspg_a[csf],,
,,EX_cspg_b[csf],,
,,EX_cspg_d[csf],,
,,EX_cspg_e[csf],,
,,EX_dgchol[csf],,
,,EX_dopasf[csf],,
,,EX_estradiol[csf],,
,,EX_estrones[csf],,
,,EX_fucacngalacglcgalgluside_hs[csf],,
,,EX_fucgalfucgalacglcgalgluside_hs[csf],,
,,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[csf],,
,,EX_gbside_hs[csf],,
,,EX_gchola[csf],,
,,EX_gd1c_hs[csf],,
,,EX_gq1b_hs[csf],,
,,EX_gq1balpha_hs[csf],,
,,EX_gthox[csf],,
,,EX_h2o2[csf],,
,,EX_ha[csf],,
,,EX_hco3[csf],,
,,EX_hdca[csf],,
,,EX_hspg[csf],,
,,EX_imp[csf],,
,,EX_inost[csf],,
,,EX_ksii_core2[csf],,
,,EX_lac_D[csf],,
,,EX_leuktrB4[csf],,
,,EX_leuktrD4[csf],,
,,EX_leuktrE4[csf],,
,,EX_lneldc[csf],,
,,EX_lnlc[csf],,
,,EX_lnlnca[csf],,
,,EX_lpchol_hs[csf],,
,,EX_mag_hs[csf],,
,,EX_no[csf],,
,,EX_nrpphr[csf],,
,,EX_nrvnc[csf],,
,,EX_o2s[csf],,
,,EX_oagd3_hs[csf],,
,,EX_ocdca[csf],,
,,EX_ocdcea[csf],,
,,EX_pchol_hs[csf],,
,,EX_pe_hs[csf],,
,,EX_pglyc_hs[csf],,
,,EX_prostge2[csf],,
,,EX_ps_hs[csf],,
,,EX_retinol[csf],,
,,EX_Rtotal2[csf],,
,,EX_strdnc[csf],,
,,EX_tchola[csf],,
,,EX_tdchola[csf],,
,,EX_thym[csf],,
,,EX_tststerone[csf],,
,,EX_txa2[csf],,
,,EX_urate[csf],,
,,EX_xoltri24[csf],,
,,EX_xoltri27[csf],,
,,EX_xylt[csf],,
,,EX_ahdt[csf],,
,,EX_HC00250[csf],,
,,EX_HC01361[csf],,
,,EX_HC01609[csf],,
,,EX_cpppg1[csf],,
,,EX_prostgi2[csf],,
,,EX_citr_L[csf],,
,,EX_C02528[csf],,
,,EX_HC02195[csf],,
,,EX_HC02196[csf],,
,,EX_HC02220[csf],,
,,EX_HC02194[csf],,
,,EX_HC02213[csf],,
,,EX_CE2839[csf],,
,,EX_CE2838[csf],,
,,EX_23cump[csf],,
,,EX_3ump[csf],,
,,EX_CE5786[csf],,
,,EX_CE5789[csf],,
,,EX_CE0074[csf],,
,,EX_doco13ac[csf],,
,,EX_leuleu[csf],,
,,EX_tdechola[csf],,
,,EX_fmn[csf],,
,,EX_q10[csf],,
,,EX_34hpp[csf],,
,,EX_aicar[csf],,
,,EX_anth[csf],,
,,EX_idour[csf],,
,,EX_ethamp[csf],,
,,EX_kynate[csf],,
,,EX_quln[csf],,
,,EX_3hanthrn[csf],,
,,EX_udpglcur[csf],,
,,EX_hLkynr[csf],,
,,EX_orot5p[csf],,
,,EX_acrn[csf],,
,,EX_pcrn[csf],,
,,EX_stcrn[csf],,
,,EX_12HPET[csf],,
,,EX_2oxoadp[csf],,
,,EX_4aabutn[csf],,
,,EX_5HPET[csf],,
,,EX_7dhchsterol[csf],,
,,EX_C02712[csf],,
,,EX_C06314[csf],,
,,EX_C14771[csf],,
,,EX_eidi1114ac[csf],,
,,EX_CE7172[csf],,
,,EX_elaidcrn[csf],,
,,EX_hxcoa[csf],,
,,EX_mev_R[csf],,
,,EX_nwharg[csf],,
,,EX_ttdcrn[csf],,
,,EX_estriol[csf],,
,,EX_5aop[csf],,
,,EX_CE2510[csf],,
,,EX_Lcyst[csf],,
,,EX_pac[csf],,
,,EX_mepi[csf],,
,,EX_retinal[csf],,
,,EX_maltttr[csf],,
,,EX_progly[csf],,
,,EX_thbpt[csf],,
,,EX_homoval[csf],,
,,EX_f1a[csf],,
,,EX_HC00342[csf],,
,,EX_dxtrn[csf],,
,,EX_glcn[csf],,
,,EX_acac[csf],,
,,EX_adn[csf],,
,,EX_akg[csf],,
,,EX_asn_L[csf],,
,,EX_asp_L[csf],,
,,EX_but[csf],,
,,EX_cgly[csf],,
,,EX_co2[csf],,
,,EX_dcyt[csf],,
,,EX_fe2[csf],,
,,EX_gal[csf],,
,,EX_glu_L[csf],,
,,EX_h[csf],,
,,EX_ile_L[csf],,
,,EX_ins[csf],,
,,EX_lac_L[csf],,
,,EX_lys_L[csf],,
,,EX_met_L[csf],,
,,EX_na1[csf],,
,,EX_o2[csf],,
,,EX_pro_L[csf],,
,,EX_ser_L[csf],,
,,EX_so4[csf],,
,,EX_thymd[csf],,
,,EX_val_L[csf],,
,,EX_pnto_R[csf],,
,,EX_ala_L[csf],,
,,EX_his_L[csf],,
,,EX_thr_L[csf],,
,,EX_gln_L[csf],,
,,EX_phe_L[csf],,
,,EX_tyr_L[csf],,
,,EX_arg_L[csf],,
,,EX_for[csf],,
,,EX_cit[csf],,
,,EX_csn[csf],,
,,EX_fol[csf],,
,,EX_fru[csf],,
,,EX_glcur[csf],,
,,EX_glyc[csf],,
,,EX_hxan[csf],,
,,EX_malt[csf],,
,,EX_man[csf],,
,,EX_rib_D[csf],,
,,EX_thm[csf],,
,,EX_trp_L[csf],,
,,EX_ura[csf],,
,,EX_xyl_D[csf],,
,,EX_pydxn[csf],,
,,EX_34dhpha[csf],,
,,EX_gam[csf],,
,,EX_tre[csf],,
,,EX_btn[csf],,
,,EX_ade[csf],,
,,EX_pheme[csf],,
,,EX_gua[csf],,
,,EX_taur[csf],,
,,EX_phpyr[csf],,
,,EX_2hyoxplac[csf],,
,,EX_CE4970[csf],,
,,EX_CE2026[csf],,
,,EX_CE4968[csf],,
,,EX_3ohglutac[csf],,
,,EX_eic21114tr[csf],,
,,EX_CE2209[csf],,
,,EX_34dhoxmand[csf],,
,,EX_n8aspmd[csf],,
,,EX_CE6205[csf],,
,,EX_CE4890[csf],,
,,EX_C09642[csf],,
,,EX_C05767[csf],,
,,EX_C05770[csf],,
,,EX_ppbng[csf],,
,,EX_mma[csf],,
,,EX_CE0737[csf],,
,,EX_im4ac[csf],,
,,EX_CE1918[csf],,
,,EX_mlthf[csf],,
,,EX_ppp9[csf],,
,,EX_CE2705[csf],,
,,EX_sphgn[csf],,
,,EX_N1aspmd[csf],,
,,EX_CE5025[csf],,
,,EX_CE5629[csf],,
,,EX_pail_hs[csf],,
,,EX_CE1243[csf],,
,,EX_ga1_hs[csf],,
,,EX_gm1_hs[csf],,
,,EX_glc_D[csf],,
,,EX_ca24g[csf],,
,,EX_cdca24g[csf],,
,,EX_cdca3g[csf],,
,,EX_dca24g[csf],,
,,EX_dca3g[csf],,
,,EX_hca24g[csf],,
,,EX_hca6g[csf],,
,,EX_hyochol[csf],,
,,EX_caproic[csf],,
,,EX_M01966[csf],,
,,EX_2hb[csf],,
,,EX_5mthf[csf],,
,,EX_adrnl[csf],,
,,EX_andrstrn[csf],,
,,EX_asp_D[csf],,
,,EX_caro[csf],,
,,EX_crvnc[csf],,
,,EX_dheas[csf],,
,,EX_dopa[csf],,
,,EX_gthrd[csf],,
,,EX_leuktrA4[csf],,
,,EX_octa[csf],,
,,EX_phyt[csf],,
,,EX_retfa[csf],,
,,EX_retn[csf],,
,,EX_sph1p[csf],,
,,EX_srtn[csf],,
,,EX_vacc[csf],,
,,EX_dha[csf],,
,,EX_dhap[csf],,
,,EX_C02470[csf],,
,,EX_HC02191[csf],,
,,EX_HC02203[csf],,
,,EX_CE5797[csf],,
,,EX_CE5798[csf],,
,,EX_crm_hs[csf],,
,,EX_cala[csf],,
,,EX_cholp[csf],,
,,EX_dcmp[csf],,
,,EX_icit[csf],,
,,EX_amet[csf],,
,,EX_CE0955[csf],,
,,EX_CE7082[csf],,
,,EX_sphmyln1824_hs[csf],,
,,EX_tmlys[csf],,
,,EX_bz[csf],,
,,EX_Lhcystin[csf],,
,,EX_s2l2n2m2m[csf],,
,,EX_acnam[csf],,
,,EX_cytd[csf],,
,,EX_dad_2[csf],,
,,EX_dgsn[csf],,
,,EX_h2o[csf],,
,,EX_k[csf],,
,,EX_leu_L[csf],,
,,EX_orn[csf],,
,,EX_pi[csf],,
,,EX_ribflv[csf],,
,,EX_cys_L[csf],,
,,EX_xan[csf],,
,,EX_pydam[csf],,
,,EX_ppa[csf],,
,,EX_egme[csf],,
,,EX_12ppd_R[csf],,
,,EX_xylu_L[csf],,
,,EX_xylu_D[csf],,
,,EX_sphings[csf],,
,,EX_prist[csf],,
,,EX_coke[csf],,
,,EX_lca24g[csf],,
,,EX_lca3g[csf],,
,,EX_C13856[csf],,
,,EX_hdca6g[csf],,
,,EX_hdca24g[csf],,
,,EX_xol24oh24g[csf],,
,,EX_xoltri25[csf],,
,,EX_xol24oh[csf],,
,,EX_xol25oh[csf],,
,,EX_M01179[csf],,
,,EX_M00979[csf],,
,,EX_CE2345[csf],,
,,EX_CE1292[csf],,
,,EX_xol27oh[csf],,
,,EX_34dhphe[csf],,
,,EX_4abut[csf],,
,,EX_acetone[csf],,
,,EX_ac[csf],,
,,EX_gly[csf],,
,,EX_ascb_L[csf],,
,,EX_amp[csf],,
,,EX_ala_B[csf],,
,,EX_ca2[csf],,
,,EX_cl[csf],,
,,EX_oxa[csf],,
,,EX_din[csf],,
,,EX_dag_hs[csf],,
,,EX_dhdascb[csf],,
,,EX_duri[csf],,
,,EX_estradiolglc[csf],,
,,EX_ak2lgchol_hs[csf],,
,,EX_avite1[csf],,
,,EX_gsn[csf],,
,,EX_ha_pre1[csf],,
,,EX_hista[csf],,
,,EX_hom_L[csf],,
,,EX_lgnc[csf],,
,,EX_paf_hs[csf],,
,,EX_Rtotal[csf],,
,,EX_ser_D[csf],,
,,EX_thyox_L[csf],,
,,EX_triodthy[csf],,
,,EX_xolest2_hs[csf],,
,,EX_fe3[csf],,
,,EX_lcts[csf],,
,,EX_uri[csf],,
,,EX_urea[csf],,
,,EX_ptrc[csf],,
,,EX_HC02192[csf],,
,,EX_HC02193[csf],,
,,EX_HC02199[csf],,
,,EX_HC02200[csf],,
,,EX_HC02201[csf],,
,,EX_zn2[csf],,
,,EX_pyr[csf],,
,,EX_HC02197[csf],,
,,EX_HC02198[csf],,
,,EX_HC02187[csf],,
,,EX_4hpro_LT[csf],,
,,EX_oh1[csf],,
,,EX_lneldccrn[csf],,
,,EX_odecrn[csf],,
,,EX_pmtcrn[csf],,
,,EX_hdcecrn[csf],,
,,EX_pe15_hs[csf],,
,,EX_CE2537[csf],,
,,EX_sphmyln_hs[csf],,
,,EX_glutar[csf],,
,,EX_2hydog[csf],,
,,EX_selmeth[csf],,
,,EX_hdd2crn[csf],,
,,EX_gluside_hs[csf],,
,,EX_gm1b_hs[csf],,
,,EX_gd1b_hs[csf],,
,,EX_gt1b_hs[csf],,
,,EX_M02467[csf],,
,,EX_12dhchol[csf],,
,,EX_3dhcdchol[csf],,
,,EX_3dhchol[csf],,
,,EX_7dhcdchol[csf],,
,,EX_7dhchol[csf],,
,,EX_coprost[csf],,
,,EX_icdchol[csf],,
,,EX_isochol[csf],,
,,EX_uchol[csf],,
,,EX_udp[csf],,
,,EX_ump[csf],,
,,EX_utp[csf],,
,,EX_pelinl_hs[csf],,
,,EX_tym[csf],,
,,EX_Lkynr[csf],,
,,EX_5htrp[csf],,
