mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
gam[e],364,MI145PK,,
gam[c],366,MI1PS,,
gd3_hs[g],37,MI34PP,,
oagd3_hs[g],3703,MLTG1,,
gar[c],3704,MMCDm,,
fgam[c],3706,MMEm,,
glc_D[c],3707,MMMm,,
gbside_hs[c],3712,MMSAD3m,,
gbside_hs[e],374291,MMTSADm,,
gbside_hs[l],374875,MOGAT,,
lpam[m],374907,MTAP,,
alpam[m],375056,MTHFCm,,
mlthf[m],3764,MTHFDm,,
dhlam[m],376497,N3Tg,,
lpro[m],3767,NABTNO,,
alpro[m],377677,NACASPAH,,
dhlpro[m],377841,NACASPtm,,
gchola[e],3795,NACHEX1ly,,
gchola[c],38,NACHEX23ly,,
gdpfuc[c],386757,NACHEX24ly,,
gmp[g],387775,NACHEX25ly,,
gmp[c],3906,NACHEX27ly,,
