mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
n2m2nmn[l],155184,BMTer_L,,
n2m2mn[l],6518,BMTer_U,,
air[c],66035,BPNT2,,
5aizc[c],160428,BTND1,,
succoa[m],25902,BTND1n,,
mal_L[c],4522,BTNDe,,
mal_L[m],2519,BTNDm,,
akg[e],2517,BTNPL,,
akg[x],2184,BTNPLm,,
prgstrn[c],2271,BTNt2,,
aprgstrn[c],2523,BTNt2m,,
xol7ah[c],2525,BTNt3i,,
xol7ah2[c],10690,BTNt4i,,
xoldioloneh[c],85365,BTNtn,,
xoltriol[c],9334,BUP2,,
xol7aone[c],2683,BUTt2m,,
xoldiolone[c],8703,BVITEt,,
ala_L[e],8704,BZt,,
ala_L[c],2820,BZtr,,
asn_L[c],9563,C14STRr,,
asn_L[e],2539,C160CPT1,,
cys_L[c],2542,C160CPT2,,
cys_L[e],2593,C160CRNt,,
ala_D[e],9514,C161CPT1,,
ala_D[c],5476,C161CPT12,,
gln_L[c],2720,C161CPT2,,
gln_L[e],2588,C161CPT22,,
gly[c],4758,C161CRN2t,,
gly[e],2581,C161CRNt,,
ser_L[c],2583,C180CPT1,,
ser_L[e],55790,C180CPT2,,
ala_L[l],55454,C180CRNt,,
thr_L[c],79586,C181CPT1,,
thr_L[e],22856,C181CPT2,,
12ppd_R[c],337876,C181CRNt,,
lald_D[c],26290,C204CPT1,,
12ppd_S[c],79695,C204CPT2,,
lald_L[c],2589,C204CRNt,,
etoh[c],50614,C226COAtx,,
id3acald[c],8693,C226CPT1,,
ind3ac[c],55568,C226CPT2,,
id3acald[m],114805,C226CRNt,,
ind3ac[m],11226,C2M26DCOAHLm,,
pristanal[c],117248,C2M26DCOAHLx,,
prist[c],11227,C3STDH1Pr,,
aldstrn[c],2590,C3STDH1r,,
aldstrn[e],51809,C3STKR2r,,
aldstrn[m],79623,C4STMO1r,,
dhap[c],63917,C4STMO2Pr,,
dha[c],2591,C4STMO2r,,
arachd[c],81031,CAATPS,,
12HPET[c],126792,CAROtr,,
12RHPET[c],11285,CARVEOLte,,
15HPET[c],8972,CAT2p,,
5HPET[c],2618,CAt7r,,
leuktrA4[c],175,CATm,,
dhcholestancoa[x],2629,CATp,,
h2o[r],26301,CBL2OR,,
o2[r],4329,CBL2tm,,
dhcholoylcoa[r],7915,CBLATm,,
dhcholestancoa[r],275,CBPPer,,
cholcoar[x],2731,CBPSam,,
cholcoas[r],2653,CBPter,,
cholcoar[r],2651,CBR1,,
amuco[c],55343,CBR2,,
amet[r],7264,CCA_D3t,,
amet[m],8836,CCA_D3tm,,
ahcys[m],79017,CDIPTr,,
amet[n],8908,CDPDAGtm,,
imp[c],2998,CDS,,
cgly[e],2992,CDSm,,
amp[x],2997,CEPTC,,
amp[r],2687,CEPTE,,
strch1[e],6472,CERK,,
glc_D[e],6470,CERT1gt,,
strch2[e],2987,CERT1rt,,
glygn2[e],2717,CERT2gt,,
glygn4[e],2632,CERT2rt,,
andrstrnglc[c],2990,CGLYt3_2_,,
andrstrnglc[e],8372,CH25H,,
andrstrnglc[r],26035,CHAT,,
andrstrn[e],54480,CHATn,,
andrstrn[c],2131,CHLP,,
andrstrn[r],2132,CHLPCTD,,
antipyrene[e],27087,CHLtm,,
antipyrene[c],135152,CHOLATEt,,
2aobut[m],26229,CHOLATEt2,,
ap4a[c],4669,CHOLATEt3,,
msa[m],64579,CHOLD2m,,
ala_B[m],3340,CHOLK,,
apnnox[e],9348,CHOLPtg,,
apnnox[c],8509,CHOLPtl,,
apoC[c],1798,CHOLt4,,
