mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
RE3010X,r1661,UDPGALtg,TYMSFt
RE3011M,r1662,UDPGD,TYMSULT
RE3011R,r1664,UDPGLCAter,TYR3MO2
RE3012C,r1665,UDPGLCAtg,TYRASE
RE3012M,r1666,UDPGLCter,TYRCBOX
RE3012R,r1668,UDPGLDCg,TYRDOPO
RE3014R,r1669,UDPGP,TYRDOPO3
RE3015R,r1670,UDPtl,TYROXDAc
RE3016R,r1671,UDPXYLter,TYRt
RE3036C,r1672,UDPXYLtg,TYRt4
RE3050R,r1674,UGALGTg,TYRTAim
RE3074X,r1733,UGALNACtg,UAG2EMA
RE3081X,r1735,UGCG,UDPACGALtl
RE3082X,r1747,UGLCNACtg,UDPDOLPT_L
RE3086X,r1748,UGT1A10r_1,UDPGALtg
RE3103C,r1750,UGT1A3r,UDPGD
RE3104C,r1751,UGT1A4r,UDPGLCAter
RE3106C,r1754,UGT1A5r,UDPGLCAtg
RE3110C,r1762,UGT1A7r,UDPGLCter
RE3112C,r1763,UGT1A8r,UDPGLDCg
RE3113C,r1765,UGT1A9r,UDPGP
RE3114R,r1766,UMPK2,UDPtl
RE3119C,r1767,UMPK2n,UDPXYLter
RE3120C,r1769,UMPK3,UDPXYLtg
RE3121C,r1777,UMPK3n,UGALGTg
RE3122C,r1779,UMPK4,UGALNACtg
RE3132R,r1784,UMPK4n,UGLCNACtg
RE3146R,r1792,UMPK5,UGT1A10r_1
RE3151C,r1797,UMPK5n,UGT1A1r
RE3152C,r1807,UMPK6,UGT1A2r
RE3153C,r1808,UMPK6n,UGT1A3r
RE3154C,r1809,UMPK7,UGT1A4r
RE3156X,r1810,UMPK7n,UGT1A5r
RE3157X,r1811,UMPKn,UGT1A5r2
RE3158X,r1812,UPPN,UGT1A6r
RE3159X,r1814,URAt,UGT1A7r
RE3160R,r1815,URATEtx,UGT1A8r
RE3161C,r1822,UREAtm,UGT1A9r
RE3162C,r1823,URIDK2m,UMPK2
RE3163C,r1825,URIK1,UMPK2n
RE3164C,r1826,URIt,UMPK3
RE3165C,r1827,Uritl,UMPK3n
RE3166C,r1829,UROLACer,UMPK4
RE3167C,r1830,VACCt,UMPK4n
RE3168C,r1834,VALt5m,UMPK5
RE3169C,r1835,VALTAim,UMPK5n
RE3170C,r1837,VALtec,UMPK6
RE3171C,r1841,VLCS2p,UMPK6n
RE3172C,r1842,VLCS2r,UMPK7
RE3173C,r1844,VLCSp,UMPK7n
RE3174C,r1872,VLCSr,UMPKn
RE3175C,r1884,WHHDCAte,UPPN
RE3176C,r1885,WHTSTSTERONEte,URAt
RE3177M,r1886,XANDp,URATEtx
RE3178M,r1891,XANtx,UREAt5
RE3179M,r1892,XAO2x,UREAtm
RE3185M,r1893,XAOx,URIK1
RE3186M,r1900,XOL7AH2tm,URIt
RE3189M,r1906,XOL7AONEtr,URIt4
RE3190M,r1908,XOLEST2te,Uritl
RE3191M,r1910,XOLESTte,Uritn
RE3192M,r1957,XOLTRI24tc,UTPtn
RE3193M,r1962,XOLTRI24te,VALt4
RE3194M,r1963,XOLTRI25tc,VALt5m
RE3195M,r1967,XOLTRI25te,VALTAim
RE3224C,r1984,XOLTRI27tc,VALtec
RE3225C,r1989,XOLTRI27te,VLCS2p
RE3226C,r2079,XOLTRIOLtm,VLCS2r
RE3227C,r2080,XSERtg,VLCSp
RE3228C,r2081,XYLK,VLCSr
RE3229C,r2082,XYLTD_D,WHDDCAte
RE3230C,r2083,XYLTer,WHHDCAte
RE3231C,r2084,XYLtly,WHTSTSTERONEte
RE3232C,r2085,XYLUR,WHTTDCAte
RE3234C,r2086,EX_4abutn_e,XANDp
RE3235C,r2087,EX_acmana_e,XAO2x
RE3236C,r2088,EX_ahdt_e,XAOx
RE3238C,r2089,EX_ctp_e,XOL27OHtm
RE3239C,r2090,EX_dgmp_e,XOL7AH2tm
RE3241C,r2091,EX_dgtp_e,XOLEST2te
RE3242C,r2092,EX_fad_e,XOLESTte
RE3243C,r2093,EX_fald_e,XOLTRI24tc
RE3244C,r2094,EX_g1p_e,XOLTRI25tc
RE3247M,r2095,EX_isomal_e,XOLTRI25te
RE3247X,r2096,EX_HC00250_e,XOLTRI27tc
RE3268R_1,r2097,EX_HC01361_e,XOLTRIOLtm
PI35P3P,r2098,EX_HC01440_e,XSERtg
RE3273C_1,r2099,EX_HC01441_e,XYLK
RE3301C_1,r2100,EX_HC01444_e,XYLTer
RE3346C,r2101,EX_HC01446_e,XYLtly
RE3346M,r2102,EX_HC01577_e,XYLUR
RE3411C_1,r2103,EX_HC01609_e,YVITEt
RE3413C,r2104,EX_cpppg1_e,EX_4abutn_e
RE3417C_1,r2105,EX_HC01700_e,EX_acmana_e
RE3420C_1,r2106,EX_HC02160_e,EX_ahdt_e
RE3430C_1,r2107,EX_HC02161_e,EX_ctp_e
RE3430M,r2108,EX_orot_e,EX_dgmp_e
RE3430X,r2109,EX_udpg_e,EX_dgtp_e
RE3432M,r2110,r0002,EX_dha_e
RE3432X,r2111,r0009,EX_dhap_e
RE3470M,r2112,r0016,EX_dtmp_e
RE3475C,r2113,GDR,EX_dttp_e
RE3476C,r2114,GDRm,EX_fad_e
RE3476M,r2115,r0023,EX_fald_e
RE3485C,r2116,NOS2,EX_g1p_e
RE3488R,r2117,r0027,EX_isomal_e
RE3493C,r2118,NDP1,EX_HC00250_e
RE3496C,r2119,DPCOAKm,EX_HC01104_e
RE3526M,r2120,CPS_m,EX_HC01361_e
RE3556C,r2121,r0047,EX_HC01440_e
RE3565C,r2122,ACOAHim,EX_HC01441_e
RE3566C,r2123,r0068,EX_HC01444_e
RE3567C,r2124,r0074,EX_HC01446_e
RE3568C,r2125,ALATA_Lm,EX_HC01577_e
RE3587C,r2126,r0083,EX_HC01609_e
RE3597M,r2127,r0084,EX_cpppg1_e
RE3597X,r2128,r0085,EX_HC01700_e
RE3624M,r2129,r0086,EX_HC02160_e
RE3626M,r2130,r0093,EX_HC02161_e
RE3628M,r2131,r0097,EX_itp_e
EX_HC00955_e,r2132,r0113,EX_orot_e
EX_HC02194_e,r2133,NTPP2,EX_prpp_e
EX_HC02187_e,r2198,PYK3,EX_pydx5p_e
EX_HC02204_e,r2199,GTHRDH_syn,EX_udpg_e
EX_HC02213_e,r2202,GGTAe2,r0009
EX_malthp_e,r2219,r0139,r0016
EX_CE2838_e,r2222,r0142,GDR
CITt4_4,r2225,r0145,GDRm
HCO3_NAt,r2243,r0149,r0023
PIt8,r2244,PYK4,NOS2
PROt4_2_r,r2261,r0156,r0027
BIOMASS_reaction,r2288,r0157,NDP1
ADPACDAc,r2289,SPTc,DPCOAKm
ADPACTD,r2315,PYK2,CPS_m
ADPCOACROT,r2364,r0166,r0047
ADPCOAPTE,r2371,r0170,ALR
C10DCCACT,r2372,r0173,ACOAHim
C10DCc,AKGCITtm,SSALxm,r0068
C12DCACOT,r2374,r0181,r0074
C12DCACT,r2375,r0186,ALATA_Lm
C12DCTD,r2376,r0191,r0083
FA160COAabcp_1,r2377,r0193,r0085
C181OHc,r2378,r0196,r0086
ACRNtp,r2379,r0202,r0093
C30CPT1,r2380,r0205,r0097
C4CRNCPT2,r2385,MAN1PT,r0113
C4DCCACT,r2387,r0210,PYK3
C4tcx,r2420,r0221_1,GTHRDH_syn
C4tmc,r2425,DHFR2i,GGTAe2
C4x,CRNCARtm,DHFRim,r0139
C60CPT1,r2434,r0239,r0142
C6COAt,CARN160t_m,r0242,r0145
C6CRNtcx,CARN1819Zt_m,r0246,r0149
C6DCCACT,r2437,r0249,PYK4
C6DCc,r2438,GMPR,r0156
C8DCc,SERt2r,r0280,r0157
C9BRxtc,r2472,r0281,SPTc
DCSPTN1COAtxc,r2493,r0283,PYK2
DOCO13ECOAtxc,r2495,r0287,r0173
DOCO13EFATP,r2497,GMPS,SSALxm
DOCOSACTDr,r2502,r0308,r0181
EX_3octdece1crn_e,r2503,ACOAR7m,r0186
FAOXC101C102m,r2508,r0310,r0191
FAOXC101C102x,r2510,r0311,r0193
FAOXC101C8x,r2512,r0317,r0196
FAOXC101x,r2514,r0319,MAN1PT
FAOXC102C101m,r2516,r0321,r0210
FAOXC102C103m,r2517,r0340,r0221_1
FAOXC102C103x,r2518,r0354,DHFR2i
FAOXC102C81m,r2520,r0355,DHFRim
FAOXC102C81x,r2539,r0357,r0239
FAOXC102m,FACOAE180,r0358,r0242
FAOXC102x,RE0453N,r0360,r0246
FAOXC103C102m,RE0456N,r0361,r0249
FAOXC103C102x,RE0512M,r0363,GMPR
FAOXC10C10OHm,RE0512X,r0364,r0280
FAOXC10DCC8DCx,RE0565C,r0365,r0281
FAOXC11BRC9BRx,RE0566C,ADADir,r0283
FAOXC121C10x,RE0567C,r0380,GMPS
FAOXC121x,RE0568C,r0381,r0308
FAOXC122C101m,RE0569C,r0383,ACOAR7m
FAOXC122m,RE0570C,r0385,r0310
FAOXC122x,RE0571C,r0386,r0311
FAOXC123C102m,RE0574C,PYDXO_1,r0317
FAOXC123C102x,RE0575C,PYDXNO,r0319
FAOXC123m,RE0576C_1,r0390_1,r0340
FAOXC123x,RE0579C_1,NAPRT,r0354
FAOXC12C12OHm,RE0581C,r0393,r0355
FAOXC12DCC10DCx,RE0830N,HXAND,r0357
FAOXC12DCTc,RE0908C,XAO2,r0358
FAOXC12DCc,RE0912C,r0402,r0360
FAOXC12DCx,RE0915C,r0403,r0361
FAOXC13BRC11BRx,RE0915E,r0407,r0363
FAOXC141C121x,RE0916C,r0408,r0364
FAOXC142C122m,RE0918C,r0409,r0365
FAOXC142C122x,RE0926E,r0410,ADADir
FAOXC143C123m,RE0935E,AGPOP,r0380
FAOXC143C123x,RE0944E,r0423,r0381
FAOXC14C14OHm,RE0958C,r0424,r0383
FAOXC14DCC12DCx,RE0958E,r0425,r0385
FAOXC161C141x,RE1099C,r0426,r0386
FAOXC163C142x,STS3,r0431_1,PYDXO_1
FAOXC163C164Gm,STS4,r0432_1,PYDXNO
FAOXC163C164x,RE1441R_1,r0433_1,r0390_1
FAOXC163GC142m,RE1447M_1,r0434,NAPRT
FAOXC163Gm,RE1448N_1,r0437,r0393
FAOXC163x,RE1448R_1,r0438,HXAND
FAOXC164C143m,RE1516M,r0440,XAO2
FAOXC164C143x,RE1516X,r0441,PHETHPTOX
FAOXC164C163x,RE1517M,r0443,r0402
FAOXC164C165m,RE1517X,r0444,r0403
FAOXC164C165x,RE1518M,r0450,r0407
FAOXC164GC163m,RE1518X,r0451,r0408
FAOXC164m,RE1519X,DGNSK,r0409
FAOXC164x,RE1520M,r0463,AGPOP
FAOXC165C164m,RE1520X,r0465_1,r0425
FAOXC165C164x,RE1521M,r0466_1,r0426
FAOXC16DCC14DCx,RE1521X,RNTR1,r0431_1
FAOXC16DCr,RE1522M,RNTR2,r0432_1
FAOXC181C161x,RE1522X,RNTR3,r0433_1
FAOXC181C181OHm,RE1523M,RNTR4,r0434
FAOXC184C163m,RE1523X,r0480,r0437
FAOXC184C163x,RE1525M,r0483,r0438
FAOXC184C164x,RE1525X,HMGCOAR,r0440
FAOXC184m,RE1526M,r0494,r0441
FAOXC184x,RE1526X,r0497,r0443
FAOXC185C164m,RE1527M,XAND,r0444
FAOXC185m,RE1527X,XAO,r0450
FAOXC201C181x,RE1530M,r0509,r0451
FAOXC204C184m,RE1531M,r0510,DGNSK
FAOXC204C205x,RE1531X,r0511,r0463
FAOXC205C184x,RE1532M,r0512,r0465_1
FAOXC205C185m,RE1532X,r0514,r0466_1
FAOXC221C201x,RE1533M,r0517,RNTR2
FAOXC225C204m,RE1533X,THFATm,RNTR3
FAOXC225C204x,RE1534M,FTHFCLm,RNTR4
FAOXC225C226m,RE1534X,r0525,r0483
FAOXC225C226x,RE1573M,NMNDA,HMGCOAR
FAOXC225m,RE1573X,DUTCP,r0494
FAOXC225x,CYANSTm,SPHPL,r0497
FAOXC226C205m,RE1709N,CYSAMO_cho,XAND
FAOXC226C225m,RE1804M,r0541,XAO
FAOXC226C225x,RE1807M,ALDD19xr,r0510
FAOXC226C227m,RE1810M,r0546,r0511
FAOXC226m,RE1834C,ALDD19x_P,r0512
FAOXC227C226m,RE1834M,r0548,r0514
FAOXC4C4DCc,RE1834X,BETALDHx,r0517
FAOXC61m,SCP3x,BETALDHy,THFATm
FAOXC61x,RE1860E,r0555,FTHFCLm
FAOXC6DCC4DCx,RE1957R_1,r0557,r0525
FAOXC81C61m,RE2122C,r0560,DUTCP
FAOXC81C61x,RE2235R,DHRT_ibcoa,CYSAMO_cho
FAOXC8DCC6DCx,RE2270E,r0568,r0541
FAOXOHC16C16DCc,RE2273E,r0571,ALDD19xr
FAOXTC101TC102m,RE2407C,r0575,r0546
FAOXTC102C101m,RE2410C,APNPT,ALDD19x_P
FAOXTC122TC101m,RE2445E,r0579,r0548
FAOXTC122m,RE2624M,DNADDP,BETALDHx
FAOXTC142TC122m,RE2624X,r0587,r0555
FAOXTC162TC142m,RE2625C,PTPATim,r0557
FAOXTC182TC162m,RE2625M,DPCOAPP,r0560
FOAXC122C101x,RE2626M,AASAD3,DHRT_ibcoa
HEXDIACtr,RE2640C,r0595,r0568
HEXDICOAACBPx,RE2649C,r0596,r0571
HOCTDACBP,RE2649M,r0603,r0573
OCD11COACPT1_1,RE2660N,r0604,APNPT
OCD11CRNCACT,RE2666C_1,r0610,r0579
OCD11CRNCPT2_1,B3GNT38g,r0611,DNADDP
OCT11EFATP_1,RE2677C_1,HPROx,r0587
OCTDECCACT,RE2677R_1,HPROxm,PTPATim
OCTDECCPT1,RE2717L,HPROb,DPCOAPP
OCTDECCPT2,RE2759X,HPROym,r0595
OCTDECE1CRNe,RE2814M,r0627,r0596
SK_octdececoa_c,RE2888C_1,r0629,r0604
PRISTCOAtcx,RE2912M,r0633,r0610
SBCOAACOTx,RE2972M_1,ACACT4m,r0611
SCP21cx,RE2973N_1,r0636,HPROx
SEBACACT,RE2985M,r0637,HPROxm
SEBACIDTD,RE2985X,ACOAR5m,HPROb
SEBCOACROT,RE2986X,ACACT6m,HPROym
SEBCOAPET,RE2987X,r0641,r0627
STCOATxc,RE2988X,r0642,r0629
STRDNCCOAtxc,RE2989X,r0643,r0630
SUBEACTD,RE2990X,r0648,r0633
SUBERCACT,RE2991X,r0649_1,r0636
SUBERCROT,RE2992M,r0650,r0637
SUBERICACT,RE2992X,r0651,ACOAR5m
SUCCCROT,RE2993X,r0652_1,r0641
SUCCOAPET,RE2994X,ACACT7m,r0642
ALAALACNc,RE2996X,r0655,r0643
BALAt2r,RE2997X,r0656,r0647
FOLt,RE2998M,ECOAH5m,r0648
GLYGLYCNc,RE2999M,ECOAH5p,r0649_1
GLYSARCNc,RE3000M,PRAIS,r0650
GLYSARPEPT1tc,RE3001M,r0669,r0651
LINOFATPtc,RE3002X,r0670,r0652_1
OLEICFATPtc,RE3003M,r0672,r0656
PALFATPtc,RE3004M,r0673,ECOAH5m
AMPTASEPG,RE3005M,r0686,PRAIS
TAUPAT1c,RE3006M,r0688,r0669
THMATPe,RE3010C,r0698,r0670
1a25DHVITD3TRn,RE3010M,r0706,r0672
3AIB_Dtm,RE3010X,r0707,r0673
3HCO3_NAt,RE3011M,r0714_1,r0686
4HPROLTASCT1,RE3011R,r0715,r0688
ASPte,RE3012C,r0716_1,r0706
BTNt3i,RE3012M,r0717,r0707
CHOLESTle_1,RE3012R,HACD6m,r0715
DM_1a25dhvitd3_n,RE3014R,HACD6p,r0717
DPMVD,RE3015R,r0720_1,r0721
DSREDUCr,RE3016R,r0721,ECOAH4m
DTMPKm,RE3033C,HACD5m,ACOAR4m
EX_glysar_e,RE3038C,HACD5p,r0737
EX_oh1_e,RE3040C,ACACT5m,r0739
EX_q10h2_e,RE3051C,HACD4m,r0741
FADDPle,RE3074X,HACD4p,r0743
FE2DMT1,RE3079X,ECOAH4m,r0747
FE3t,RE3081X,ECOAH4p,r0750
ACP1e,RE3082X,r0730,r0752
GLU5SAtmc,RE3086X,r0731,r0753
GNDc,RE3095C,r0732,r0754
IPDDI,RE3103C,r0733,r0755
MAL_Ltx,RE3104C,r0734,r0756
MDHp,RE3106C,ACOAR4m,r0757
MEVK1,RE3110C,r0737,5HOXINDACTOX
P5CR,RE3112C,r0739,r0779
PGLc,RE3113C,r0741,LNS14DMr
PHEMEt,RE3114R,r0743,r0782
PMEVK,RE3119C,r0744,SBPP1
PNTOt5,RE3120C,r0747,ACOAR2m
PRO_Dtde,RE3121C,r0752,r0795
PTRCtex2,RE3122C,r0753,r0797
Q10H2e,RE3132R,r0754,r0813
RPEc,RE3134C,r0755,r0817
RTOTAL2FATPc,CHLSTD78I,r0756,r0819
RTOTALFATPc,RE3146R,r0757,SUCFUMtm
q10tm,RE3151C,5HOXINDACTOX,r0822
4HPRO_LTte,RE3152C,r0774,r0826
AHCYSte,RE3153C,r0779,r0829
IDOURte,RE3154C,LNS14DMr,r0830
EX_idour_e,RE3156X,r0782,r0834
IMPtr,RE3157X,r0783,r0835
ALAPAT4te,RE3158X,r0786,r0836
ARACHDFATPtc,RE3159X,SBPP1,r0840
FOLABCCte,RE3160R,r0788,r0845
FOLOATPtc,RE3161C,r0789,r0853
PROPAT4te,RE3162C,ACOAR2m,r0860
CAMPt,RE3163C,r0795,r0879
CGMPt,RE3165C,r0797,r0885
TRPt,RE3166C,r0812,r0907
Kt1,RE3167C,r0817,r0924
GLYCLm,RE3168C,r0818,r0926
ACRNte,RE3169C,r0819,r0927
PCRNte,RE3170C,SUCFUMtm,r0934
LNELDCCRNte,RE3171C,r0822,r0946
ODECRNte,RE3172C,r0826,r0954
STCRNte,RE3173C,r0829,r0960
PMTCRNte,RE3174C,r0830,r0961
HDCECRNte,RE3175C,r0834,r0962
DESAT14_9,RE3176C,r0835,r0968
LCAT10e,RE3177M,r0836,r0970
LCAT11e,RE3178M,NH4tm,r0973
LCAT12e,RE3179M,r0840,r0983
LCAT13e,RE3180C,r0841,r0984
LCAT14e,RE3181C,r0845,r0986
LCAT54e,RE3185M,r0853,r0989
LCAT55e,RE3186M,r0860,r0993
LCAT15e,RE3189M,r0879,r0994
LCAT16e,RE3190M,r0885,r0995
LCAT17e,RE3191M,r0892,r0997
LCAT18e,RE3192M,r0899,r0998
LCAT19e,RE3193M,MALICITtm,r0999
LCAT20e,RE3194M,r0915,r1000
LCAT21e,RE3195M,CITtcm,CARN1619Zt_m
LCAT22e,RE3224C,r0924,r1002
LCAT23e,RE3225C,r0926,r1003
LCAT25e,RE3226C,r0934,r1005
LCAT27e,RE3227C,r0940,r1006
LCAT29e,RE3228C,r0942,r1007
LCAT2e,RE3229C,SPMDtex2,r1008
LCAT30e,RE3230C,r0950,r1011
LCAT31e,RE3231C,r0954,r1012
LCAT32e,RE3232C,r0960,r1013
LCAT33e,RE3234C,r0961,r1015
LCAT34e,RE3235C,r0962,r1018
LCAT35e,RE3236C,r0968,r1025
LCAT36e,RE3237C,r0970,r1026
LCAT37e,RE3238C,r0973,r1028
LCAT38e,RE3241C,r0983,r1043
LCAT39e,RE3242C,r0984,r1044
LCAT3e,RE3243C,r0987,r1045
LCAT40e,RE3244C,r0990,r1051
LCAT41e,FACOAE181,r0994,r1078
LCAT42e,RE3247M,r0995,CITt4_1
LCAT43e,RE3247X,r0997,r1117
LCAT44e,RE3251M,r0999,r1135
LCAT45e,RE3258C,r1000,r1146
LCAT56e,RE3259C,r1002,r1150
LCAT46e,RE3268R_1,r1003,r1155
LCAT47e,PI35P3P,r1006,DUTUP
LCAT48e,PI4P4Pn,r1007,r1163
LCAT49e,RE3273C_1,r1008,r1164
LCAT4e,RE3273R_1,r1011,r1165
LCAT50e,RE3301C_1,r1012,r1166
LCAT51e,RE3307C,r1013,r1167
LCAT52e,RE3346C,r1018,r1168
LCAT53e,RE3346M,r1019,r1169
LCAT57e,RE3430C_1,r1020,r1170
LCAT5e,RE3430M,CHOLESTTDe,r1171
LCAT6e,RE3430X,r1052,r1172
LCAT7e,RE3431C,CITt4_1,r1174
LCAT8e,RE3432C,r1109,r1175
LCAT9e,RE3432M,r1116,r1177
SMS1,RE3432X,r1117,r1179
SMS10,RE3434C,r1134,r1181
SMS11,RE3435C,r1135,r1182
SMS12,RE3436C,r1143,r1183
SMS16,RE3437C,GLUt4,r1251
SMS13,RE3470C,r1146,r1252
SMS14,RE3470M,AKGICITtm,r1253
SMS15,RE3476C,r1148,r1254
SMS2,RE3476M,r1150,r1255
SMS3,RE3488R,OBDHm,r1257
SMS4,RE3496C,r1155,r1259
SMS5,RE3520E,DUTUP,r1260
SMS6,RE3525C,r1164,r1262
SMS7,RE3526C,r1165,r1298
SMS8,RE3526M,r1166,r1374
SMS9,RE3570C,r1167,r1380
XOLEST183CEH,RE3587C,r1168,r1382_1
XOLEST182CEH,RE3597C,r1169,r1383_1
XOLEST205CEH,RE3597M,r1170,r1384
XOLEST226CEH,RE3597X,r1171,r1411
PCHOLMYR_HSPLA2,RE3624M,r1172,HCO3Ee
PCHOLOLE_HSPLA2,RE3626M,r1174,r1435
PEOLE_HSPLA2,RE3628M,r1175,METtm
PCHOLPALME_HSPLA2,EX_HC00955_e,r1177,r1437
PCHOLPALM_HSPLA2,EX_HC02203_e,r1179,thr_mt
PEPALM_HSPLA2,EX_HC02213_e,r1181,ACOAO5p
PAILPALM_HSPLA2,EX_malthp_e,r1182,r1444
PCHOLSTE_HSPLA2,EX_CE2839_e,r1183,ACOAO4p
PCHOL2LINL_HSPLA2,EX_23cump_e,r1251,r1446
PE2LINL_HSPLA2,EX_3ump_e,r1252,r1447
PCHOL2OLE_HSPLA2,EX_CE5786_e,r1253,r1448
PCHOL2PALM_HSPLA2,EX_CE5789_e,r1254,r1449
PCHOL2STE_HSPLA2,EX_CE5797_e,r1255,r1450
PCHOLN15_HSPLA2,EX_CE5798_e,r1257,r1451
PCHOLAR_HSPLA2,EX_CE5867_e,r1259,r1454
PCHOLN183_HSPLA2,EX_CE5868_e,r1260,r1459
PCHOLN1836_HSPLA2,EX_CE5869_e,r1262,r1487
PCHOLN19_HSPLA2,EX_crm_hs_e,r1292,r1495
PCHOLN201_HSPLA2,EX_CE0074_e,r1298,r1497
PCHOLN204_HSPLA2,EX_C04849_e,r1303,r1498
PCHOLN205_HSPLA2,CITt4_4,r1304,r1499
PCHOLN224_HSPLA2,HCO3_NAt,r1318,r1500
PCHOLN225_HSPLA2,PIt8,r1364,r1501
PCHOLN2254_HSPLA2,PROt4_2_r,r1365,r1502
PCHOLN226_HSPLA2,BIOMASS_reaction,r1378,r1503
PEAR_HSPLA2,2MB2COAc,r1380,r1514
PE203_HSPLA2,3HBCOARc,r1382_1,r1515
PE226_HSPLA2,ADPACDAc,r1383_1,r1516
PE224_HSPLA2,ADPACTD,r1384,r1517
PEDH203_HSPLA2,ADPCOACROT,r1391,r1518
PEDH12_HSPLA2,ADPCOAPTE,r1392,r1519
PEDH14_HSPLA2,BCRNe,r1411,r1520
PEDH161_HSPLA2,C100CPT1,HCO3Ee,r1521
PEDH13_HSPLA2,SK_c101coa_c,r1421,r1522
PEDH15_HSPLA2,C101CPT1,r1435,r1523
PEDH17_HSPLA2,C101CRNe,ACOAO5p,r1525
PCHOLN203_HSPLA2,C102CPT1,r1444,r1527
PAILAR_HSPLA2,C10CRNe,ACOAO4p,r1529
PCHOLN24_HSPLA2,C10DCCACT,r1446,r1530
PCHOLN261_HSPLA2,C10DCc,r1447,r1531_1
PCHOLN281_HSPLA2,C10OHc,r1448,r1532_1
PCHOLN28_HSPLA2,C120CPT1,r1449,r1533_1
PCHOLDOC_HSPLA2,C121CPT1,r1450,r1536
PCHOLDEIC_HSPLA2,C12DCACOT,r1451,HCO3_2NAt
PCHOLDET_HSPLA2,C12DCACT,r1454,r1540
PCHOLHEP_HSPLA2,C12DCTD,r1457,TYRPHELAT2tc
PCHOLLINL_HSPLA2,C12OHc,r1459,CYSPHELAT2tc
PELINL_HSPLA2,TTDCPT1,r1472,LEUPHELAT2tc
4AABUTNt,C141ACBP,r1474,ASNPHELAT2tc
AMETt,C141CPT1,r1477,VALPHELAT2tc
ARACHETH,C141OHc,r1481,THRPHELAT2tc
C02712te,C141OHe,r1487,ILEPHELAT2tc
CE2510t,C142ACBP,r1514,r1664
CE2537ATP,C142CPT1,r1515,r1665
CE6247t,C142OHc,r1516,r1666
CE7172ATP,C142OHe,r1517,r1668
DIDECAETH,C14OHc,r1518,r1669
DIHOLINETH,C161OHc,r1519,r1670
DOCOHEXETHc,C162ACBP,r1520,r1671
DOCTETETH,C162OHc,r1521,r1672
EX_4aabutn_e,C162OHe,r1522,r1673
EX_aracheth_e,C16DCc,r1523,r1674
EX_C02712_e,C16DCe,r1525,r1675
EX_CE6247_e,C16OHc,r1527,r1676
EX_CE7172_e,FA160COAabcp_1,r1529,r1677
EX_didecaeth_e,C181OHc,r1530,r1678
EX_diholineth_e,C182OHc,r1531_1,r1679
EX_docohxeth_e,C18OHc,r1532_1,r1680
EX_docteteth_e,ACRNtp,r1533_1,r1681
EX_hepdeceth_e,C30CPT1,r1536,r1682
EX_hexdeceeth_e,C3DCe,HCO3_2NAt,r1683
EX_leuktrB4woh_e,C40CPT1,r1540,r1684
EX_lineth_e,C4CRNCPT2,r1544,r1685
EX_oleth_e,C4DCCACT,r1546,r1686
EX_pailar_hs_e,C4OHc,r1547,r1687
EX_pailpalm_hs_e,C4tcx,r1548,r1690
EX_pailste_hs_e,C4tmc,r1549,r1691
EX_pchol2linl_hs_e,C4x,r1551,r1692
EX_pchol2ole_hs_e,C50CPT1,r1552,r1693
EX_pchol2palm_hs_e,C51CPT1,r1553,r1695
EX_pchol2ste_hs_e,C5DCe,r1554,r1696
EX_pcholar_hs_e,C60CPT1,r1556,r1698
EX_pcholdoc_hs_e,C6COAt,r1557,r1700
EX_pcholeic_hs_e,C6CRNtcx,r1559,r1701
EX_pcholet_hs_e,C6DCCACT,r1560,r1702
EX_pcholhep_hs_e,C6DCc,r1561,r1705
EX_pchollinl_hs_e,C80CPT1,r1562,r1706
EX_pcholmyr_hs_e,SK_c81coa_c,r1563,r1707
EX_pcholn15_hs_e,C81CPT1,r1564,r1708
EX_pcholn183_hs_e,C81CRNe,r1565,r1710
EX_pcholn1836_hs_e,C8DCc,r1566,r1711
EX_pcholn19_hs_e,C9BRxtc,r1567,r1713
EX_pcholn201_hs_e,DCATDc,r1568,r1715
EX_pcholn203_hs_e,DCATDr,r1569,r1716
EX_pcholn204_hs_e,SK_dd2coa_c,r1570,r1717
EX_pcholn205_hs_e,DDCRNe,r1571,r1720
EX_pcholn224_hs_e,DDECCRNe,r1573,r1721
EX_pcholn225_hs_e,DDECE1CRNe,r1574,r1722
EX_pcholn2254_hs_e,DECCRNe,r1575,r1723
EX_pcholn226_hs_e,SK_decdicoa_c,r1576,r1725
EX_pcholn24_hs_e,DECDICRNe,r1578,r1726
EX_pcholn261_hs_e,DOCO13EFATP,r1579,r1728
EX_pcholn28_hs_e,DOCOSACT,r1580,r1730
EX_pcholn281_hs_e,DOCOSACTDe,r1581,r1731
EX_pcholole_hs_e,DOCOSACTDr,r1583,r1732
EX_pcholpalm_hs_e,DOCOSDIACTD,r1584,r1733
EX_pcholpalme_hs_e,EX_3bcrn_e,r1585,r1734
EX_pcholste_hs_e,EX_3ddcrn_e,r1586,r1735
EX_pe14_hs_e,EX_3deccrn_e,r1587,r1736
EX_pe17_hs_e,EX_3hdececrn_e,r1588,r1737
EX_pe203_hs_e,EX_3hexdcrn_e,r1589,r1738
EX_pe2linl_hs_e,EX_3ivcrn_e,r1590,r1739
EX_pendecaeth_e,EX_3octdec2crn_e,r1591,r1740
EX_pmeth_e,EX_3octdeccrn_e,r1592,r1741
