mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
pmtcoa[c],lys_[l][c],cys__L_e,fum[c]
Rtotal3coa[m],apoC[l]ys[c],ala__D_e,25aics[c]
pmtcoa[m],apoC[m],gln__L_c,aicar[c]
crm_hs[l],lys_[l][m],ala__D_c,aflatoxin[e]
Rtotal[l],apoC[l]ys[m],gln__L_e,aflatoxin[c]
sphings[l],apoC[l]ys_btn[c],gly_c,ksii_core4_pre2[g]
ascb_[l][c],biocyt[c],gly_e,ksii_core4_pre3[g]
o2s[c],apoC[l]ys_btn[m],ser__L_c,ksii_core4_pre4[g]
dhdascb[c],biocyt[m],ser__L_e,ksii_core4_pre5[g]
ascb_[l][e],aprut[c],thr__L_c,ksii_core4_pre7[g]
nh4[m],n4abutn[c],thr__L_e,ksii_core4_pre8[g]
cbp[c],arab_[l][e],12ppd__R_c,ksii_core2_pre2[g]
cbasp[c],arab_[l][c],lald__D_c,ksii_core2_pre3[g]
asp__D[e],arachcoa[c],lald__L_c,ksii_core2_pre4[g]
k[c],arachcoa[x],12ppd__S_c,ksii_core2_pre5[g]
asp__D[c],arachcrn[c],etoh_c,ksii_core2_pre7[g]
k[e],arachcrn[m],id3acald_c,ksii_core2_pre8[g]
asp__D[x],arachcoa[m],ind3ac_c,agm[m]
asp_[l][e],arachdcoa[c],id3acald_m,ptrc[m]
oaa[m],arachdcoa[x],ind3ac_m,urea[m]
adp[r],arachd[e],pristanal_c,Rtotal2coa[c]
atp[r],arachd[r],prist_c,alpa_hs[c]
amp[r],arach[e],arachd_c,pa_hs[c]
atp[e],arach[c],15HPET_c,ala__L[m]
amp[e],arg_[l][e],5HPET_c,glx[m]
pi[e],arg_[l][c],leuktrA4_c,gly[m]
adp[e],lys_[l][e],dhcholestancoa_x,ala__L[x]
atp[n],orn[m],cholcoar_x,glx[x]
atp[x],citr_[l][c],amet_r,gly[x]
gbside_hs[g],argsuc[c],ahcys_m,pyr[x]
ga2_hs[g],sgalside_hs[l],amet_m,ahandrostanglc[c]
ga1_hs[g],galside_hs[l],imp_c,ahandrostanglc[e]
gd2_hs[g],so4[l],cgly_e,ahandrostanglc[r]
gd1b_hs[g],Rtotalcoa[c],amp_x,ahcys[r]
gt2_hs[g],Rtotal[c],strch1_e,n2m2nmn[l]
gt1c_hs[g],Rtotal2[c],glc__D_e,n2m2mn[l]
galgbside_hs[g],Rtotal3coa[c],strch2_e,air[c]
acglcgalgluside_hs[g],Rtotal3[c],glygn2_e,5aizc[c]
galacglcgalgluside_hs[g],tmndnccoa[c],glygn4_e,succoa[m]
gal14acglcgalgluside_hs[g],R2coa_hs[c],andrstrnglc_c,mal__L[c]
acglcgal14acglcgalgluside_hs[g],pmtcoa[c],andrstrnglc_e,mal__L[m]
galacglcgal14acglcgalgluside_hs[g],Rtotal3coa[m],andrstrnglc_r,akg[e]
acglc13galacglcgal14acglcgalgluside_hs[g],pmtcoa[m],andrstrn_e,akg[x]
galacglc13galacglcgal14acglcgalgluside_hs[g],crm_hs[l],andrstrn_c,prgstrn[c]
h2o[g],Rtotal[l],andrstrn_r,aprgstrn[c]
gluside_hs[g],sphings[l],2aobut_m,xol7ah[c]
cholcoa[x],ascb_[l][c],ala_B_m,xol7ah2[c]
dgcholcoa[x],o2s[c],msa_m,xoldioloneh[c]
dgchol[x],dhdascb[c],apoC_c,xoltriol[c]
dcholcoa[x],ascb_[l][e],lys__L_c,xol7aone[c]
btn[c],asn_[l][m],apoC_Lys_c,xoldiolone[c]
btamp[c],nh4[m],apoC_m,ala__L[e]
btn[m],cbp[c],lys__L_m,asn__L[c]
btamp[m],cbasp[c],apoC_Lys_m,ala__L[c]
ala_B[c],asp__D[e],apoC_Lys_btn_c,asn__L[e]
ala_B[e],k[c],biocyt_c,cys__L[c]
4tmeabutn[c],asp__D[c],apoC_Lys_btn_m,cys__L[e]
succ[c],k[e],biocyt_m,ala__D[e]
retinal[c],asp__D[x],aprut_c,gln__L[c]
bhb[m],oaa[m],n4abutn_c,ala__D[c]
bhb[e],adp[r],aqcobal_e,gln__L[e]
bhb[c],atp[r],aqcobal_c,gly[c]
glyb[c],amp[r],arab__L_e,gly[e]
hcys_[l][c],atp[e],arab__L_c,ser__L[c]
dmgly[c],amp[e],arachcoa_c,ser__L[e]
met_[l][c],pi[e],arachcoa_x,thr__L[c]
bildglcur[e],adp[e],arachcrn_c,thr__L[e]
bildglcur[c],atp[n],arachcrn_m,12ppd__R[c]
bilglcur[e],atp[x],arachcoa_m,lald__D[c]
bilglcur[c],gbside_hs[g],arachdcoa_c,etoh[c]
bilglcur[r],ga2_hs[g],arachdcoa_x,id3acald[c]
biliverd[c],ga1_hs[g],arachd_e,ind3ac[c]
bilirub[c],gm2_hs[g],arachd_r,id3acald[m]
bilirub[e],gm1_hs[g],arach_e,ind3ac[m]
biocyt[n],gd2_hs[g],arach_c,prist[c]
dolmanp_U[r],gd1b_hs[g],arg__L_m,aldstrn[c]
dolp_U[r],gt2_hs[g],arg__L_e,aldstrn[e]
h[r],gt1c_hs[g],arg__L_c,aldstrn[m]
h2o[n],galgbside_hs[g],lys__L_e,arachd[c]
btn[n],acglcgalgluside_hs[g],orn_m,12HPET[c]
lys_[l][n],galacglcgalgluside_hs[g],citr__L_c,15HPET[c]
biocyt[e],gal14acglcgalgluside_hs[g],argsuc_c,5HPET[c]
btn[e],acglcgal14acglcgalgluside_hs[g],sgalside_hs_l,leuktrA4[c]
3uib[c],galacglcgal14acglcgalgluside_hs[g],galside_hs_l,dhcholestancoa[x]
3aib__D[c],acglc13galacglcgal14acglcgalgluside_hs[g],so4_l,cholcoar[x]
but[c],acglcgalacglcgal14acglcgalgluside_hs[g],Rtotalcoa_c,amet[r]
but[m],galacglcgalacglcgal14acglcgalgluside_hs[g],Rtotal_c,ahcys[m]
44mctr[r],galacglc13galacglcgal14acglcgalgluside_hs[g],Rtotal2_c,amet[m]
nadph[r],h2o[g],Rtotal3coa_c,imp[c]
44mzym[r],cholcoa[x],Rtotal3_c,cgly[e]
nadp[r],taur[x],tmndnccoa_c,amp[x]
pmtcrn[c],tchola[x],R2coa_hs_c,strch1[e]
pmtcrn[m],dgcholcoa[x],pmtcoa_c,glc__D[e]
hdcoa[c],dgchol[x],Rtotal3coa_m,strch2[e]
hdcecrn[c],dcholcoa[x],pmtcoa_m,glygn2[e]
hdd2coa[c],btn[c],crm_hs_l,glygn4[e]
hdd2crn[c],btamp[c],Rtotal_l,andrstrnglc[c]
hdcecrn[m],btn[m],sphings_l,andrstrnglc[e]
hdcoa[m],btamp[m],ascb__L_c,andrstrnglc[r]
hdd2crn[m],ala_B[c],o2s_c,andrstrn[e]
hdd2coa[m],4tmeabutn[c],dhdascb_c,andrstrn[c]
stcoa[c],succ[c],ascb__L_e,andrstrn[r]
stcrn[c],retinal[c],asn__L_m,antipyrene[e]
stcrn[m],bhb[m],nh4_m,antipyrene[c]
stcoa[m],bhb[e],cbp_c,2aobut[m]
odecoa[c],bhb[c],cbasp_c,ala_B[m]
odecrn[c],glyb[c],asp__D_e,msa[m]
odecrn[m],hcys_[l][c],k_c,apnnox[e]
odecoa[m],dmgly[c],asp__D_c,apnnox[c]
arachdcrn[c],met_[l][c],k_e,apoC[c]
arachdcrn[m],bildglcur[e],asp__D_x,lys__L[c]
arachdcoa[m],bildglcur[c],asp__L_e,apoC_Lys[c]
c226coa[c],bilglcur[e],oaa_m,apoC[m]
c226coa[x],bilglcur[c],adp_r,lys__L[m]
c226crn[c],biliverd[c],atp_r,apoC_Lys[m]
c226crn[m],bilirub[c],amp_r,apoC_Lys_btn[c]
c226coa[m],bilirub[e],atp_e,biocyt[c]
4mzym[i]nt1[r],biocyt[n],amp_e,apoC_Lys_btn[m]
4mzym[i]nt2[r],dolmanp_U[r],pi_e,biocyt[m]
co2[r],memgacpail_hs[r],adp_e,appnn[e]
nad[r],dolp_U[r],atp_n,appnn[c]
nadh[r],h[r],atp_x,aprut[c]
zym[i]nt2[r],m2emgacpail_hs[r],gbside_hs_g,n4abutn[c]
zymst[r],h2o[n],ga2_hs_g,aqcobal[e]
o2[r],btn[n],ga1_hs_g,aqcobal[c]
h2o[r],lys_[l][n],gm2_hs_g,arab__L[e]
ca2[c],biocyt[e],gm1_hs_g,arab__L[c]
ca2[e],btn[e],gd2_hs_g,arachcoa[c]
etoh[x],but[c],gd1b_hs_g,arachcoa[x]
h2o2[m],44mctr[r],gt2_hs_g,arachcrn[c]
cbl2[c],nadph[r],gt1c_hs_g,arachcrn[m]
cbl2[m],44mzym[r],galgbside_hs_g,arachcoa[m]
glc__D[r],nadp[r],acglcgalgluside_hs_g,arachdcoa[c]
g6p[r],pmtcrn[c],galacglcgalgluside_hs_g,arachdcoa[x]
cbp[m],pmtcrn[m],gal14acglcgalgluside_hs_g,arachd[e]
pi[r],hdcoa[c],acglcgal14acglcgalgluside_hs_g,arachd[r]
ppi[r],hdcecrn[c],galacglcgal14acglcgalgluside_hs_g,arach[e]
prostge2[c],hdd2coa[c],acglc13galacglcgal14acglcgalgluside_hs_g,arach[c]
prostgf2[c],hdd2crn[c],acglcgalacglcgal14acglcgalgluside_hs_g,arg__L[m]
cdpdag_hs[c],hdcecrn[m],galacglcgalacglcgal14acglcgalgluside_hs_g,arg__L[e]
inost[c],hdcoa[m],galacglc13galacglcgal14acglcgalgluside_hs_g,arg__L[c]
cmp[c],hdd2crn[m],h2o_g,lys__L[e]
pail_hs[c],hdd2coa[m],gm2a_hs_g,orn[m]
cdpdag_hs[m],stcoa[c],gm1a_hs_g,citr__L[c]
ctp[c],stcrn[c],cholcoa_x,argsuc[c]
ctp[m],stcrn[m],taur_x,sgalside_hs[l]
pa_hs[m],stcoa[m],dgcholcoa_x,galside_hs[l]
cdpchol[c],odecoa[c],dgchol_x,so4[l]
dag_hs[c],odecrn[c],dcholcoa_x,Rtotalcoa[c]
pchol_hs[c],odecrn[m],btn_c,Rtotal[c]
cdpea[c],odecoa[m],btamp_c,Rtotal2[c]
pe_hs[c],arachdcrn[c],btn_m,Rtotal3coa[c]
crm_hs[c],arachdcrn[m],btamp_m,Rtotal3[c]
crmp_hs[c],arachdcoa[m],ala_B_c,tmndnccoa[c]
crm_hs[g],c226coa[c],ala_B_e,R2coa_hs[c]
crm_hs[r],c226crn[c],4tmeabutn_c,pmtcoa[c]
gluside_hs[c],c226crn[m],succ_c,Rtotal3coa[m]
gluside_hs[r],c226coa[m],retinal_c,pmtcoa[m]
cgly[c],4mzym[i]nt1[r],bhb_m,crm_hs[l]
chsterol[r],4mzym[i]nt2[r],betald_m,Rtotal[l]
xol25oh[r],co2[r],glyb_m,sphings[l]
chol[c],nad[r],bhb_e,ascb__L[c]
cholp[c],nadh[r],bhb_c,o2s[c]
chol[m],zym[i]nt2[r],glyb_c,dhdascb[c]
cholate[e],zymst[r],hcys__L_c,ascb__L[e]
cholate[c],o2[r],dmgly_c,asn__L[m]
cholp[g],h2o[r],met__L_c,nh4[m]
cholp[l],ca2[c],bildglcur_e,cbp[c]
chsterol[c],ca2[e],bildglcur_c,cbasp[c]
chsterol[l],etoh[x],bilglcur_e,asp__D[e]
chsterol[m],h2o2[m],bilglcur_c,k[c]
citr_[l][m],cbp[r],bilglcur_r,asp__D[c]
cit[e],glc__D[r],biliverd_c,k[e]
pep[m],g6p[r],bilirub_c,asp__D[x]
creat[m],nh4[r],bilirub_e,asp__L[e]
pcreat[m],pi[r],bilirub_r,oaa[m]
creat[c],ppi[r],biocyt_n,adp[r]
pcreat[c],prostge2[c],dolmanp_U_r,atp[r]
cl[e],prostgf2[c],memgacpail_hs_r,amp[r]
for[c],cdpdag_hs[c],dolp_U_r,atp[e]
cl[c],inost[c],h_r,amp[e]
for[e],cmp[c],m2emgacpail_hs_r,pi[e]
i[c],pail_hs[c],h2o_n,adp[e]
i[e],cdpdag_hs[m],btn_n,atp[n]
oxa[c],ctp[c],lys__L_n,atp[x]
oxa[e],ctp[m],biocyt_e,avite2[e]
clpndcoa[c],pa_hs[m],btn_e,avite2[c]
clpndcrn[c],cdpchol[c],but_c,gbside_hs[g]
clpndcrn[m],dag_hs[c],but_m,ga2_hs[g]
clpndcoa[m],pchol_hs[c],bz_e,ga1_hs[g]
pglyc_hs[c],cdpea[c],bz_c,gm2_hs[g]
clpn_hs[c],pe_hs[c],44mctr_r,gm1_hs[g]
cmp[g],crm_hs[c],nadph_r,gd2_hs[g]
cmpacna[c],crmp_hs[c],44mzym_r,gd1b_hs[g]
cmpacna[g],crm_hs[g],nadp_r,gt2_hs[g]
cmpacna[n],crm_hs[r],pmtcrn_c,gt1c_hs[g]
ctp[n],gluside_hs[c],pmtcrn_m,galgbside_hs[g]
ppi[n],gluside_hs[r],hdcoa_c,acglcgalgluside_hs[g]
co2[x],cgly[c],hdcecrn_c,galacglcgalgluside_hs[g]
coa[r],chsterol[r],hdd2coa_c,gal14acglcgalgluside_hs[g]
2dpmhobq[m],xol25oh[r],hdd2crn_c,acglcgal14acglcgalgluside_hs[g]
q10[m],chol[c],hdcecrn_m,galacglcgal14acglcgalgluside_hs[g]
2dp6mobq[m],cholp[c],hdcoa_m,acglc13galacglcgal14acglcgalgluside_hs[g]
2dp6mobq[m]e[m],chol[m],hdd2crn_m,galacgalfuc12gal14acglcgalgluside_hs[g]
2dp6mep[m],cholate[e],hdd2coa_m,galacgalfucgalacglcgal14acglcgalgluside_hs[g]
Tn_antigen[g],cholate[c],stcoa_c,acglcgalacglcgal14acglcgalgluside_hs[g]
core3[g],cholp[g],stcrn_c,galacglcgalacglcgal14acglcgalgluside_hs[g]
core4[g],cholp[l],stcrn_m,galacglc13galacglcgal14acglcgalgluside_hs[g]
co[c],chol[g],stcoa_m,galthcrm_hs[g]
co[e],chol[r],odecoa_c,galgalthcrm_hs[g]
T4hcinnm[m],chsterol[c],odecrn_c,galgalgalthcrm_hs[g]
pcrn[x],chsterols[c],odecrn_m,acglcgalgbside_hs[g]
crn[x],chsterol[l],odecoa_m,galacglcgalgbside_hs[g]
pcrn[c],chsterol[m],arachdcrn_c,h2o[g]
acrn[x],itaccoa[m],arachdcrn_m,gm2a_hs[g]
crn[e],citr_[l][m],arachdcoa_m,gm1a_hs[g]
dmnoncrn[x],cit[e],c226coa_c,gluside_hs[g]
dmnoncrn[m],pep[m],c226coa_x,cholcoa[x]
crvnc[c],creat[m],c226crn_c,gchola[x]
cspg_a[l],pcreat[m],c226crn_m,taur[x]
Ser[g]ly_Ala[x][g]ly[l],creat[c],c226coa_m,tchola[x]
cs_a[l],pcreat[c],4mzym_int1_r,dgcholcoa[x]
cspg_b[l],cl[e],4mzym_int2_r,dgchol[x]
cs_b[l],for[c],co2_r,dcholcoa[x]
cspg[c][l],cl[c],nad_r,btn[c]
cs[c][l],for[e],nadh_r,btamp[c]
cspg_d[l],i[c],zym_int2_r,btn[m]
cs_d[l],i[e],zymst_r,btamp[m]
cspg[e][l],oxa[c],o2_r,ala_B[c]
cs[e][l],oxa[e],h2o_r,ala_B[e]
pcrn[m],clpndcoa[c],ca2_c,4tmeabutn[c]
dmnoncoa[x],clpndcrn[c],ca2_e,succ[c]
ppcoa[x],clpndcrn[m],etoh_x,caro[c]
crn[r],clpndcoa[m],h2o2_m,retinal[c]
acrn[r],clpnd[c],cbl2_c,betald[m]
cspg_a[g],pglyc_hs[c],cbl2_m,glyb[m]
cspg_a[e],clpn_hs[c],cbp_r,bhb[e]
cspg_b[g],cmp[g],glc__D_r,bhb[c]
cspg_b[e],cmpacna[c],g6p_r,glyb[c]
cspg[c][g],cmpacna[g],nh4_r,hcys__L[c]
cspg[c][e],cmpacna[n],cbp_m,dmgly[c]
cspg_d[g],ctp[n],pi_r,met__L[c]
cspg_d[e],ppi[n],ppi_r,bildglcur[e]
cspg[e][g],co2[g],prostge2_c,bildglcur[c]
cspg[e][e],co2[x],prostgf2_c,bildglcur[r]
cyan[e],coa[g],cdpdag_hs_c,bilglcur[e]
cyan[c],coa[l],inost_c,bilglcur[c]
cyan[m],coa[r],cmp_c,bilglcur[r]
cysi_[l][c],2dpmhobq[m],pail_hs_c,biliverd[c]
gthrd[c],q10[m],cdpdag_hs_m,bilirub[c]
gthox[c],2dp6mobq[m],ctp_c,bilirub[e]
mercppyr[c],2dp6mobq[m]e[m],ctp_m,bilirub[r]
glu_[l][e],2dp6mep[m],pa_hs_m,biocyt[n]
cytd[c],Tn_antigen[g],cdpchol_c,dolmanp_U[r]
uri[c],core3[g],dag_hs_c,memgacpail_hs[r]
cytd[m],core4[g],pchol_hs_c,dolp_U[r]
cmp[m],co[c],cdpea_c,h[r]
h[n],co[e],pe_hs_c,m2emgacpail_hs[r]
cytd[e],T4hcinnm[m],crm_hs_c,h2o[n]
cytd[l],creat[e],crmp_hs_c,btn[n]
dgtp[c],pcrn[x],crm_hs_g,lys__L[n]
cdp[c],crn[x],crm_hs_r,biocyt[e]
dgdp[c],pcrn[c],gluside_hs_c,btn[e]
cmp[n],acrn[x],gluside_hs_r,3uib[c]
dgtp[n],dmnoncrn[x],cgly_c,3aib__D[c]
cdp[n],dmnoncrn[m],chsterol_r,but[c]
dgdp[n],crtsl[c],xol25oh_r,but[m]
dcmp[c],crtsl[r],chol_c,bvite[e]
dcdp[c],crvnc[c],chol_n,bvite[c]
dcmp[n],cspg_a[l],coa_n,bz[e]
dcdp[n],Ser[g]ly_Ala[x][g]ly[l],cholp_c,bz[c]
dctp[c],cs_a[l],chol_m,bz[r]
dctp[n],cspg_b[l],cholate_e,44mctr[r]
datp[n],cs_b[l],cholate_c,nadph[r]
dadp[n],cspg[c][l],cholp_g,44mzym[r]
utp[c],cs[c][l],cholp_l,nadp[r]
utp[n],cspg_d[l],chol_g,pmtcrn[c]
udp[n],cs_d[l],chol_r,pmtcrn[m]
cdp[m],cspg[e][l],chsterol_c,hdcoa[c]
adp[n],cs[e][l],chsterols_c,hdcecrn[c]
gtp[n],pcrn[m],chsterol_l,hdd2coa[c]
gdp[n],dmnoncoa[x],chsterol_m,hdd2crn[c]
3aib__D[m],ppcoa[x],chsterol_g,hdcecrn[m]
dad_2[c],crn[r],chtn_c,hdcoa[m]
din[c],acrn[r],chtn_e,hdd2crn[m]
dag_hs[r],cspg_a[g],itaccoa_m,hdd2coa[m]
dag_hs[n],cspg_a[e],citr__L_m,stcoa[c]
pa_hs[n],cspg_b[g],cit_e,stcrn[c]
nh4[x],cspg_b[e],pep_m,stcrn[m]
oaa[x],cspg[c][g],creat_m,stcoa[m]
dd2coa[m],cspg[c][e],pcreat_m,odecoa[c]
dd3coa[m],cspg_d[g],creat_c,odecrn[c]
dcyt[m],cspg_d[e],pcreat_c,odecrn[m]
dcmp[m],cspg[e][g],cl_e,odecoa[m]
dcyt[n],cspg[e][e],for_c,arachdcrn[c]
dcsptn1coa[c],cyan[e],cl_c,arachdcrn[m]
dcsptn1coa[x],cyan[c],for_e,arachdcoa[m]
dcsptn1crn[c],cyan[m],i_c,c226coa[c]
dcsptn1crn[m],cysi_[l][c],i_e,c226crn[c]
dcsptn1coa[m],gthrd[c],oxa_c,c226crn[m]
dcyt[c],gthox[c],oxa_e,c226coa[m]
duri[c],mercppyr[c],clpndcoa_c,4mzym_int1[r]
4h2oglt[m],cysi_[l][e],clpndcrn_c,4mzym_int2[r]
decdp[c],glu_[l][e],clpndcrn_m,co2[r]
decdp[m],cytd[c],clpndcoa_m,nad[r]
lnlncacoa[c],uri[c],clpnd_e,nadh[r]
strdnccoa[c],cmp[m],clpnd_c,zym_int2[r]
octd11ecoa[c],h[n],pglyc_hs_c,zymst[r]
od2coa[c],nh4[n],clpn_hs_c,o2[r]
lneldccoa[c],cytd[e],cmp_g,h2o[r]
lnlccoa[c],cytd[l],cmpacna_c,ca2[c]
lnlncgcoa[c],dgtp[c],cmpacna_g,ca2[e]
dlnlcgcoa[c],cdp[c],cmpacna_n,caro[e]
eicostetcoa[c],dgdp[c],ctp_n,carveol[e]
tetpent3coa[c],cmp[n],ppi_n,carveol[c]
tethex3coa[c],dgtp[n],co2_g,h2o2[m]
tag_hs[c],cdp[n],co2_x,cbl2[c]
dgchol[c],dgdp[n],coa_g,cbl2[m]
datp[m],dcmp[c],coa_l,cbp[r]
dgmp[m],dcdp[c],coa_r,glc__D[r]
dadp[m],dcmp[n],2dpmhobq_m,g6p[r]
dgdp[m],dcdp[n],q10_m,nh4[r]
dgsn[m],dctp[c],2dp6mobq_m,cbp[m]
dgsn[c],dctp[n],2dp6mobq_me_m,pi[r]
dhdascb[e],datp[n],2dp6mep_m,ppi[r]
dhcholestanate[x],dadp[n],Tn_antigen_g,prostge2[c]
zymstnl[r],utp[c],core3_g,prostgf2[c]
chlstol[r],utp[n],core4_g,cdpdag_hs[c]
lthstrl[r],udp[n],core6_g,inost[c]
dsmsterol[r],cdp[m],co_c,cmp[c]
ddsmsterol[r],adp[n],co_e,pail_hs[c]
dhcrm_hs[c],gtp[n],creat_e,cdpdag_hs[m]
fad[c],gdp[n],pcrn_x,ctp[c]
fadh2[c],3aib__D[m],crn_x,ctp[m]
3dpdhb[m]e[m],dad_2[c],pcrn_c,pa_hs[m]
dheas[e],din[c],acrn_x,cdpchol[c]
dheas[c],din[e],crn_e,dag_hs[c]
dhea[r],dag_hs[r],dmnoncrn_x,pchol_hs[c]
dhf[c],dag_hs[n],dmnoncrn_m,cdpea[c]
dhf[l],pa_hs[n],crtn_c,pe_hs[c]
dhor__S[c],dag_hs[e],crtsl_c,crm_hs[c]
orot[c],nh4[x],crtsl_r,crmp_hs[c]
q10h2[m],oaa[x],crvnc_e,crm_hs[g]
56dura[c],dd2coa[m],crvnc_c,crm_hs[r]
cala[c],dd3coa[m],cspg_a_l,gluside_hs[c]
56dthm[c],dcyt[n],Ser_Gly_Ala_X_Gly_l,gluside_hs[r]
dhbpt[c],dcsptn1coa[c],cs_a_l,cgly[c]
mlthf[c],dcsptn1coa[x],cspg_b_l,chsterol[r]
thbpt[c],dcsptn1crn[c],cs_b_l,xol25oh[r]
didp[c],dcsptn1crn[m],cspg_c_l,chol[c]
didp[n],dcsptn1coa[m],cs_c_l,chol[n]
digalsgalside_hs[c],dcsptn1[e],cspg_d_l,coa[n]
digalsgalside_hs[g],dcsptn1[c],cs_d_l,cholp[c]
digalside_hs[g],dcyt[c],cspg_e_l,chol[m]
ditp[c],duri[c],cs_e_l,cholate[e]
ditp[n],4h2oglt[m],pcrn_m,cholate[c]
dkmpp[c],debrisoquine[e],dmnoncoa_x,cholp[g]
2kmb[c],debrisoquine[c],ppcoa_x,cholp[l]
lac__D[e],decdp[c],crn_r,chol[g]
lac__D[c],decdp[m],acrn_r,chol[r]
lac__D[m],dedoldp_[l][c],csn_e,chsterol[c]
dlnlcgcrn[c],dolichol_[l][c],csn_c,chsterols[c]
dlnlcgcrn[m],lnlncacoa[c],cspg_a_g,chsterol[l]
dlnlcgcoa[m],strdnccoa[c],cspg_a_e,chsterol[m]
dlnlcg[c],octd11ecoa[c],cspg_b_g,chsterol[g]
Asn[x]_Ser_Thr[l],od2coa[c],cspg_b_e,chtn[c]
dctp[m],lneldccoa[c],cspg_c_g,chtn[e]
dem2emgacpail_prot_hs[r],lnlccoa[c],cspg_c_e,acgam[e]
dgpi_prot_hs[r],lnlncgcoa[c],cspg_d_g,itaccoa[m]
dgtp[m],dlnlcgcoa[c],cspg_d_e,citr__L[m]
dttp[m],eicostetcoa[c],cspg_e_g,cit[e]
dttp[n],tetpent3coa[c],cspg_e_e,pep[m]
gpi_sig[r],tethex3coa[c],cyan_e,creat[m]
n5m2masn[g],tag_hs[c],cyan_c,pcreat[m]
Ser_Thr[l],dgchol[c],cyan_m,creat[c]
sprm[c],datp[m],cysi__L_c,pcreat[c]
dmpp[x],dgmp[m],gthrd_c,cl[e]
ipdp[x],dadp[m],gthox_c,for[c]
grdp[x],dgdp[m],mercppyr_c,cl[c]
ppi[x],dgsn[m],cysi__L_e,for[e]
sarcs[m],dgsn[c],glu__L_e,i[c]
dmnoncoa[c],dhdascb[e],cytd_c,i[e]
dmnoncrn[c],dhcholestanate[m],uri_c,oxa[c]
dmnoncoa[m],dhcholestanate[x],cytd_m,oxa[e]
dcdp[m],fadh2[r],cmp_m,clpndcoa[c]
dtdp[m],fad[r],h_n,clpndcrn[c]
dudp[c],zymstnl[r],nh4_n,clpndcrn[m]
dtdp[c],chlstol[r],cytd_e,clpndcoa[m]
dudp[m],lthstrl[r],cytd_l,clpnd[e]
dutp[c],dsmsterol[r],dgtp_c,clpnd[c]
dutp[m],ddsmsterol[r],cdp_c,pglyc_hs[c]
dttp[c],dhcrm_hs[c],dgdp_c,clpn_hs[c]
dolglcp_[l][c],fad[c],cmp_n,cmp[g]
dolglcp_[l][r],fadh2[c],dgtp_n,cmpacna[c]
dolp_[l][r],3dpdhb[m]e[m],cdp_n,cmpacna[g]
dolp_[l][c],dheas[c],dgdp_n,cmpacna[n]
dolp_U[c],dhea[c],dcmp_c,ctp[n]
dolmanp_U[c],dhea[r],dcdp_c,ppi[n]
gdpmann[c],dhf[c],dcmp_n,co2[g]
dopaqn[c],dhf[l],dcdp_n,co2[x]
dopa[e],dhf[m],dctp_c,coa[g]
dpcoa[c],dhor__S[c],dctp_n,coa[l]
23dpg[c],orot[c],datp_n,coa[r]
3pg[c],q10h2[m],dadp_n,coke[r]
13dpg[c],56dura[c],utp_c,egme[r]
5dpmev[x],cala[c],utp_n,2dpmhobq[m]
pi[x],56dthm[c],udp_n,q10[m]
frdp[c],dhbpt[c],cdp_m,2dp6mobq[m]
ipdp[c],mlthf[c],adp_n,2dp6mobq_me[m]
2dr5p[c],thbpt[c],gtp_n,2dp6mep[m]
g3p[c],didp[c],gdp_n,Tn_antigen[g]
dtdp[n],didp[n],3aib__D_m,core3[g]
dump[c],digalsgalside_hs[c],dad_2_c,core4[g]
dump[n],digalsgalside_hs[g],din_c,core5[g]
ura[c],digalside_hs[c],dad_2_e,core6[g]
thym[c],digalside_hs[g],din_e,core7[g]
duri[m],digalside_hs[l],dag_hs_r,core8[g]
dump[m],ditp[c],dag_hs_n,co[c]
dutp[n],ditp[n],pa_hs_n,co[e]
3hbcoa[m],dkmpp[c],dag_hs_e,T4hcinnm[m]
3hbcoa[x],2kmb[c],ala__D_x,coumarin[e]
b2coa[x],lac__D[e],nh4_x,coumarin[c]
3hmbcoa[m],lac__D[c],arg__D_x,creat[e]
eicostetcrn[c],lac__D[m],5g2oxpt_x,crmp_hs[e]
eicostetcrn[m],dlnlcgcrn[c],oaa_x,pcrn[x]
eicostetcoa[m],dlnlcgcrn[m],dd2coa_m,crn[x]
elaidcrn[c],dlnlcgcoa[m],dd3coa_m,pcrn[c]
elaidcrn[m],dlnlcg[c],dcyt_m,acrn[x]
od2coa[m],Asn[x]_Ser_Thr[l],dcyt_n,crn[e]
elaid[c],dem2emgacpail_prot_hs[r],dcsptn1coa_c,dmnoncrn[x]
n2m2nm[l],dgpi_prot_hs[r],dcsptn1coa_x,dmnoncrn[m]
ksi_deg2[l],dgtp[m],dcsptn1crn_c,crtn[c]
ksi_deg3[l],dsT_antigen[g],dcsptn1crn_m,crtsl[e]
s2l2n2m2m[l],dttp[n],dcsptn1coa_m,crtsl[c]
s2l2n2m2mn[l],ethamp[r],dcsptn1_e,crtsl[m]
estradiolglc[e],gpi_sig[r],dcsptn1_c,crtsl[r]
estradiolglc[c],kdn[c],dcyt_c,crtstrn[e]
estradiol[r],mem2emgacpail_prot_hs[r],duri_c,crtstrn[c]
estriolglc[c],n5m2masn[g],dcyt_e,crtstrn[m]
estriolglc[e],Ser_Thr[l],4h2oglt_m,crvnc[e]
estriolglc[r],sprm[c],debrisoquine_e,crvnc[c]
