mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
ala_[l][e],dcamp[c],melatn_c,acnacngal14acglcgalgluside_hs[e]
asn_[l][c],fum[c],ac_g,acnacngal14acglcgalgluside_hs[c]
ala_[l][c],25aics[c],acetol_c,acnacngal14acglcgalgluside_hs[g]
asn_[l][e],aicar[c],adn_c,acnacngalgbside_hs[c]
cys_[l][c],ksii[c]ore4_pre2[g],ins_c,acnacngalgbside_hs[e]
cys_[l][e],ksii[c]ore4_pre3[g],adn_e,acnacngalgbside_hs[g]
ala__D[e],ksii[c]ore4_pre4[g],ins_e,acmanap[c]
gln_[l][c],ksii[c]ore4_pre5[g],nh4_e,pep[c]
ala__D[c],ksii[c]ore4_pre7[g],ade_e,acnamp[c]
gln_[l][e],ksii[c]ore4_pre8[g],ade_c,man6p[c]
gly[c],ksii[c]ore2_pre2[g],gtp_c,kdnp[c]
gly[e],ksii[c]ore2_pre3[g],gdp_c,acnam[c]
ser_[l][c],ksii[c]ore2_pre4[g],gtp_m,acnam[l]
ser_[l][e],ksii[c]ore2_pre5[g],gdp_m,acnam[n]
thr_[l][c],ksii[c]ore2_pre7[g],damp_c,acngalacglcgal14acglcgalgluside_hs[e]
thr_[l][e],ksii[c]ore2_pre8[g],datp_c,acngalacglcgal14acglcgalgluside_hs[c]
12ppd__R[c],Rtotal2coa[c],dadp_c,acngalacglcgal14acglcgalgluside_hs[g]
lald__D[c],alpa_hs[c],ametam_c,acmana[c]
lald_[l][c],pa_hs[c],camp_c,2mbcoa[m]
12ppd__S[c],ala_[l][m],adn_m,fad[m]
etoh[c],glx[m],adn_l,2mb2coa[m]
id3acald[c],gly[m],adpman_c,fadh2[m]
ind3ac[c],gly[x],man1p_c,btcoa[m]
id3acald[m],pyr[x],adprib_e,ivcoa[m]
ind3ac[m],ahcys[r],adprib_c,3mb2coa[m]
pristanal[c],n2m2nmn[l],adp_x,ibcoa[m]
prist[c],n2m2mn[l],adrncoa_c,2mp2coa[m]
arachd[c],air[c],adrncoa_x,o2[x]
15HPET[c],5aizc[c],crn_c,h2o2[x]
5HPET[c],succoa[m],adrncrn_c,hdd2coa[x]
leuktrA4[c],mal_[l][c],adrncrn_m,acorn[c]
dhcholestancoa[x],mal_[l][m],adrncoa_m,orn[c]
cholcoar[x],akg[e],crn_m,cit[m]
ahcys[m],akg[x],adrnl_e,icit[m]
amet[m],xol7ah[c],adrn_e,dhcholoylcoa[x]
imp[c],xol7ah2[c],adrn_c,fadh2[x]
cgly[e],xoldioloneh[c],aps_c,fad[x]
amp[x],xoltriol[c],dcamp_c,thcholoylcoa[x]
strch1[e],xol7aone[c],fum_c,cholcoas[x]
glc__D[e],xoldiolone[c],25aics_c,cholcoads[x]
strch2[e],ala_[l][e],aicar_c,h2o[x]
glygn2[e],asn_[l][c],ksii_core4_pre2_g,fmn[c]
glygn4[e],ala_[l][c],ksii_core4_pre3_g,ribflv[c]
andrstrnglc[c],asn_[l][e],ksii_core4_pre4_g,acrn[c]
andrstrnglc[e],cys_[l][c],ksii_core4_pre5_g,acrn[m]
andrstrnglc[r],cys_[l][e],ksii_core4_pre7_g,ppa[c]
andrstrn[r],ala__D[e],ksii_core4_pre8_g,amp[c]
ala_B[m],gln_[l][c],ksii_core2_pre2_g,ppcoa[c]
msa[m],ala__D[c],ksii_core2_pre3_g,ppi[c]
apoC[c],gln_[l][e],ksii_core2_pre4_g,ac[m]
lys_[l][c],gly[c],ksii_core2_pre5_g,Nacsertn[c]
