mets,genes,rxns
ksii_core4_pre2[g],75320,ARGARGMETt
ksii_core4_pre3[g],214253,ARGARGt
ksii_core4_pre4[g],75540,ARGATB0tc
ksii_core4_pre5[g],435766,ARGB0AT3tc
ksii_core4_pre7[g],74205,ARGCYSGLYt
ksii_core4_pre8[g],50790,ARGCYSSERt
ksii_core2_pre2[g],14081,ARGDCm
ksii_core2_pre3[g],433256,ARGGLUGLUt
ksii_core2_pre4[g],328845,ARGGLUPROt
ksii_core2_pre5[g],216739,ARGGLYGLYt
ksii_core2_pre7[g],117147,ARGHISTHRt
ksii_core2_pre8[g],18605,ARGLEUPHEt
agm[m],209558,ARGLYSASPt
ptrc[m],83603,ARGLYSex
urea[m],170439,ARGN
Rtotal2coa[c],68801,ARGN1ASPMDte
alpa_hs[c],54326,ARGNm
pa_hs[c],666168,ARGORNt7
ala__L[m],100040843,ARGPHEARGt
glx[m],13117,ARGPROMETt
gly[m],435802,ARGPROTHRt
ala__L[x],14104,ARGSERSERt
glx[x],26457,ARGSL
gly[x],26569,ARGSS
pyr[x],26568,ARGt4
ahandrostanglc[c],11674,ARGt5r
ahandrostanglc[e],230163,ARGtm
ahandrostanglc[r],11676,ARGTYRVALt
ahcys[r],14121,ARGVALCYSt
n2m2nmn[l],270198,ARGVALTRPt
n2m2mn[l],18639,ARSA
air[c],170768,ASAH1
5aizc[c],18640,ASCBSVCTtc
succoa[m],14120,ASCBt4
mal__L[c],14151,ASCBt5
mal__L[m],107747,ASNALANaEx
akg[e],73649,ASNASNARGt
akg[x],234730,ASNATB0tc
prgstrn[c],71562,ASNB0AT3tc
aprgstrn[c],13361,ASNCYSCYSt
xol7ah[c],14287,ASNCYSNaEx
xol7ah2[c],56017,ASNGLNNaEx
xoldioloneh[c],20526,ASNMETPROt
xoltriol[c],435818,ASNN
xol7aone[c],56485,ASNNm
xoldiolone[c],216188,ASNPHEASPt
ala__L[e],270685,ASNPHECYSt
asn__L[c],108156,ASNPHELAT2tc
ala__L[c],66848,ASNS1
asn__L[e],71665,ASNSERNaEx
cys__L[c],14085,ASNt4
cys__L[e],14194,ASNTHRNaEx
ala__D[e],14343,ASNtN1
gln__L[c],14348,ASNTYRGLYt
ala__D[c],57370,ASNTYRPHEt
gln__L[e],53418,ASNTYRTHRt
gly[c],14595,ASP1DC
gly[e],56336,ASPALAARGt
ser__L[c],14571,ASPASNGLUt
ser__L[e],56454,ASPCT
thr__L[c],100198,ASPDt6
thr__L[e],14381,ASPGLUm
12ppd__R[c],14385,ASPGLUPROt
lald__D[c],14431,ASPGLUt
lald__L[c],53897,ASPGLUTRPt
12ppd__S[c],19025,ASPHISCYSt
etoh[c],12091,ASPHISPROt
id3acald[c],50917,ASPLYSGLUt
ind3ac[c],18010,ASPLYSHISt
id3acald[m],14420,ASPMETASPt
ind3ac[m],14421,ASPPROASCT1
pristanal[c],234356,ASPPROLYSt
prist[c],78752,ASPT
aldstrn[c],74241,ASPt6
aldstrn[e],269941,ASPTA
aldstrn[m],78923,ASPTAm
arachd[c],230145,ASPVALASNt
12HPET[c],14423,ATPasel_1
15HPET[c],231605,ATPH1e
5HPET[c],14426,ATPH2e
leuktrA4[c],171212,ATPS4mi
dhcholestancoa[x],271786,ATPtm
cholcoar[x],207839,ATVACIDhc
amuco[c],78754,ATVACIDMCTtu
amet[r],241391,ATVACIDOATPtu
ahcys[m],108148,ATVACIDtu
amet[m],108150,ATVACYLGLUChc
imp[c],71685,ATVETHGLUChc
cgly[e],231050,ATVLACGLCURhc
amp[x],14425,ATVLACThc
strch1[e],170441,ATVLACtu
glc__D[e],117592,AVITE1t
strch2[e],218271,B3GALT3g
glygn2[e],232714,B3GALT41g
glygn4[e],14450,B3GALT42g
andrstrnglc[c],11593,B3GALT43g
andrstrnglc[e],14466,B3GALT44g
andrstrnglc[r],227671,B3GALT5g
andrstrn[e],104776,B3GNT11g
andrstrn[c],214579,B3GNT12g
andrstrn[r],434437,B3GNT310g
antipyrene[e],104174,B3GNT311g
antipyrene[c],68133,B3GNT312g
2aobut[m],14538,B3GNT313g
ala_B[m],228368,B3GNT314g
msa[m],22122,B3GNT315g
apnnox[e],14590,B3GNT31g
apnnox[c],110175,B3GNT32g
apoC[c],27357,B3GNT33g
lys__L[c],232493,B3GNT34g
apoC_Lys[c],14936,B3GNT35g
apoC[m],23887,B3GNT36g
lys__L[m],108037,B3GNT37g
apoC_Lys[m],20425,B3GNT38g
apoC_Lys_btn[c],11605,B3GNT39g
biocyt[c],74185,B3GNT51g
apoC_Lys_btn[m],110006,BAAT1x
biocyt[m],109685,BAAT2x
appnn[e],93683,BAAT3x
appnn[c],100910,BAAT4x_cho
aprut[c],14042,BAAT5x
n4abutn[c],14043,BACCL
aqcobal[e],76898,BACCLm
aqcobal[c],280645,BALABETAtc
arab__L[e],72727,BALAt2r
arab__L[c],27419,BALAVECSEC_1
arachcoa[c],64580,BAMPPALDOX
arachcoa[x],15531,BBHOX
arachcrn[c],83398,BCDO
arachcrn[m],17423,BDHm
arachcoa[m],54616,BETALDHx
arachdcoa[c],58193,BETALDHy
arachdcoa[x],56219,BETBGTtc
arachd[e],117591,BGAL1e
arachd[r],353169,BGAL1l
arach[e],227659,BGAL2l
arach[c],20537,BGAL3l
arg__L[m],77559,BHMT
arg__L[e],110078,BIDGLCURr
arg__L[c],19309,BILDGLCURt
lys__L[e],110095,BILDGLCURte
orn[m],14629,BILGLCURt
citr__L[c],14630,BILGLCURte
argsuc[c],14661,BILIRED
sgalside_hs[l],14317,BILIRED2
galside_hs[l],14660,BILIRUBt2
so4[l],216456,B_MANNASEly
Rtotalcoa[c],71803,BMTer_U
Rtotal[c],68267,BPNT
Rtotal2[c],270076,BPNT2
Rtotal3coa[c],140919,BTND1
Rtotal3[c],216227,BTND1n
tmndnccoa[c],72961,BTNDe
R2coa_hs[c],15112,BTNDm
pmtcoa[c],56185,BTNPL
Rtotal3coa[m],67092,BTNPLm
pmtcoa[m],76238,BTNt2i
crm_hs[l],14933,BTNt2m
Rtotal[l],14626,BTNt3i
sphings[l],14651,BTNt3i_1
ascb__L[c],14664,BTNt4i
o2s[c],110208,BUP2
dhdascb[c],14711,BUTSMCT1
ascb__L[e],14732,BUTt
asn__L[m],70325,BUTt2m
nh4[m],241062,BUTt2r
cbp[c],67556,C02712te
cbasp[c],72084,C03681te
asp__D[e],14782,C03990ATP
k[c],21672,C03990t
asp__D[c],18477,C04483t1
k[e],14776,C05299te
asp__D[x],14775,C05301te
Nacasp[m],625249,C05302te
asp__L[e],14778,C05463t1
oaa[m],75512,C05769te
adp[r],67305,C05769te3
atp[r],11757,C05770te
amp[r],14854,C05770te4
atp[e],14598,C09642te
amp[e],234889,C100CPT1
pi[e],54195,C101CPT1
adp[e],230103,C102CPT1
atp[n],245650,C10DCc
atp[x],14917,C10DCCACT
avite2[e],18160,C10OHc
avite2[c],14919,C120CPT1
gbside_hs[g],60596,C121CPT1
ga2_hs[g],14544,C12DCACOT
ga1_hs[g],12352,C12OHc
gm2_hs[g],56078,C141ACBP
gm1_hs[g],27392,C141CPT1
gd2_hs[g],230801,C141OHc
gd1b_hs[g],99439,C142ACBP
gt2_hs[g],214593,C142CPT1
gt1c_hs[g],11833,C142OHc
galgbside_hs[g],56703,C14825c
acglcgalgluside_hs[g],18701,C14OHc
galacglcgalgluside_hs[g],433931,C14STR
gal14acglcgalgluside_hs[g],239827,C14STRr
acglcgal14acglcgalgluside_hs[g],329777,C160CPT1
galacglcgal14acglcgalgluside_hs[g],14731,C160CPT2
acglc13galacglcgal14acglcgalgluside_hs[g],228812,C160CRNt
galacgalfuc12gal14acglcgalgluside_hs[g],276846,C161CPT1
galacgalfucgalacglcgal14acglcgalgluside_hs[g],78928,C161CPT12
acglcgalacglcgal14acglcgalgluside_hs[g],15108,C161CPT2
galacglcgalacglcgal14acglcgalgluside_hs[g],15107,C161CPT22
galacglc13galacglcgal14acglcgalgluside_hs[g],15118,C161CRN2t
galthcrm_hs[g],15116,C161CRNt
galgalthcrm_hs[g],15117,C161OHc
galgalgalthcrm_hs[g],71883,C162ACBP
