mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
22436,214579,17855,20510
224530,214663,16331,20511
224674,215015,104015,20512
225010,215113,16332,20513
225326,215335,170835,20514
225579,215446,16330,20515
225600,216019,64436,20516
225742,216134,212111,20517
225791,216152,16329,20518
225888,216188,228550,20519
226413,216343,233011,20520
226844,216453,320404,20521
226999,216454,71780,20522
227095,216456,269180,20523
227120,216558,234515,20525
227231,21672,76051,20526
227327,216739,73724,20527
227333,217119,17850,20528
227399,217480,68393,20531
227620,217700,233549,20532
227659,217707,66902,20533
227671,217837,17768,20535
227721,218121,94192,20536
227733,218138,11484,20537
228368,21823,71670,20538
228550,218232,17939,20540
228677,218271,59033,20541
228812,218461,94229,20544
229211,218476,114479,20597
229665,218756,11931,20598
229709,21877,232975,20652
229782,21881,98660,20655
229791,21884,67821,20656
229949,218865,11933,20657
230027,219135,11928,20698
230099,21915,27222,207151
230103,21990,11932,207182
230145,21991,20544,20751
230163,22018,105243,207728
230379,22117,226999,20773
230718,22122,338403,20775
230801,22169,66054,20778
231050,22227,238384,207839
231051,22228,94249,208043
231086,22229,214111,20810
231327,22232,76376,208211
231396,22234,76025,208266
231605,22235,66422,208449
231691,22236,67464,20859
231727,22239,100862375,20860
231871,22240,21915,208665
232087,22245,79059,208715
232156,22247,18103,20887
232333,22271,18102,208890
232449,22272,54369,208967
232493,22273,171567,20897
232714,22275,56520,208982
232811,22276,20495,209027
232975,22361,20496,209039
232984,223753,74080,20905
233011,223920,66454,20916
233016,224020,226518,20917
233781,224024,59027,209176
233799,224129,18113,20937
233801,224143,18948,209558
233904,22436,18127,20975
234129,224530,18125,209837
234135,224661,18126,210004
234309,224674,667034,210044
234356,225010,18950,211347
234515,225326,20517,211389
234724,225579,20445,211429
234730,225600,50773,211488
234779,225742,18675,211666
234889,225791,103850,212032
234967,225888,23959,212111
235033,225913,69983,212647
235044,226413,18416,212862
235293,226518,67041,212974
235504,226999,353371,21351
235534,227095,13171,21366
235582,227120,12040,21391
235626,227327,12039,214084
235674,227333,75475,214111
236149,227399,18242,214162
236293,227620,22247,214253
236539,227659,13521,214579
236899,227671,231583,214593
237523,227721,13487,214663
237625,227733,13070,215015
237636,228368,13074,215113
237823,228550,13075,215335
237831,228677,56388,215446
237940,228812,13113,216019
238011,229211,13114,216134
238023,229363,337924,216152
238024,229665,13112,216188
23827,229709,100041449,216225
23831,229782,622127,216227
238384,229791,100041375,216343
238505,229949,13079,216453
23887,230027,104086,216454
238871,230099,13086,216456
23900,230101,13087,21672
23908,230103,72082,216739
239122,230145,13097,217119
23917,230163,13098,217214
23918,230379,69888,217480
23923,230612,72303,217593
239273,230718,56448,217700
239559,230801,13107,217707
23956,231050,56050,218103
23959,231051,53973,218121
23971,231086,13116,218138
23972,231327,64385,21823
239827,231583,170716,218232
23984,231605,72054,218271
23986,231691,13123,218461
240215,231727,13124,218476
240332,231871,209027,218756
24059,232087,100163,21877
24060,232156,18475,21881
240752,232333,18476,21884
241062,232449,18472,218865
241159,232493,27226,219135
241391,232680,73836,21915
241447,232714,11982,21990
241452,232811,18806,21991
241489,232984,18805,22018
242202,233011,18563,22117
242285,233016,18670,22122
242585,233781,54611,22169
242607,233836,18578,22171
243078,233904,18584,22173
243085,234129,18574,22178
243616,234135,18583,22227
245650,234309,110385,22228
246049,234356,18575,22229
246221,234515,238871,22232
246277,234724,18573,22235
246696,234730,18576,22236
26357,234779,23984,22238
26363,234889,18577,22240
26378,234967,207728,22245
26384,235033,29863,22247
26457,235044,241489,22262
26458,235293,218461,22271
26459,235339,110855,22272
26462,235504,18585,22273
26464,235534,242202,22275
26565,235582,225600,22276
26568,235626,18587,22361
26569,235674,78600,223646
266744,236149,18582,223920
268510,236293,18588,224020
268656,236539,18598,224024
26874,236899,68263,224129
26876,237523,235339,224143
26877,237625,18597,22436
26878,237823,103711,224530
26879,237831,11980,224661
268860,237940,18534,224674
26887,238011,74551,225010
269060,238023,80911,225326
26912,238024,68671,225579
269180,23827,18618,225600
26922,23831,236539,225742
269378,238384,19215,225791
26938,238505,54486,225888
269437,23887,96979,225913
269614,238871,64292,22598
269615,23900,19223,225994
